"No","Provinsi","2019","2020","2021","2022","2023","Pertumbuhan 2023 terhadap 2022 (%)"
"1","Aceh","65.00","143.50","6.00","1.00","2.00"," 100%"
"2","Sumatera Utara","184.00","388.00","160.10","9.90","3.70"," -62.63%"
"3","Sumatera Barat","274.00","647.00","188.58","79.02","89.90"," 13.77%"
"4","Riau","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"5","Jambi","67.00","136.50","59.00","6.00","58.00"," 866.67%"
"6","Sumatera Selatan","56.00","128.00","32.00","79.00","7.00"," -91.14%"
"7","Bengkulu","35.00","294.50","70.50","77.00","3.50"," -95.45%"
"8","Lampung","29.00","141.00","21.00","3.00","0.75"," -75%"
"9","Kepulauan Bangka Belitung","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"10","Kepulauan Riau","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","870.00","460.00","107.00","37.50","21.00"," -44%"
"13","Jawa Tengah","5,289.00","5,421.00","3,875.40","3,026.63","3,920.40"," 29.53%"
"14","Daerah Istimewa Yogyakarta","0.00","0.40","0.00","0.00","0.00","&nbsp;"
"15","Jawa Timur","1,235.00","1,243.00","812.18","212.45","267.48"," 25.9%"
"16","Banten","0.00","0.00","4.00","0.00","0.00","&nbsp;"
"17","Bali","346.00","221.00","144.00","100.50","50.10"," -50.15%"
"18","Nusa Tenggara Barat","2,771.00","2,469.00","1,048.50","382.15","705.50"," 84.61%"
"19","Nusa Tenggara Timur","358.00","308.47","209.98","212.14","164.04"," -22.67%"
"20","Kalimantan Barat","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"21","Kalimantan Tengah","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"22","Kalimantan Selatan","1.00","0.00","0.00","0.00","0.00","&nbsp;"
"23","Kalimantan Timur","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"24","Kalimantan Utara","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"25","Sulawesi Utara","364.00","216.50","12.00","0.00","0.00","&nbsp;"
"26","Sulawesi Tengah","69.00","232.50","67.00","17.75","42.00"," 136.62%"
"27","Sulawesi Selatan","84.00","158.00","34.00","5.00","2.00"," -60%"
"28","Sulawesi Tenggara","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"29","Gorontalo","0.00","0.00","4.00","0.00","0.00","&nbsp;"
"30","Sulawesi Barat","0.00","193.00","11.00","11.00","2.00"," -81.82%"
"31","Maluku","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"32","Maluku Utara","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"33","Papua Barat","0.00","0.00","1.09","10.96","0.79"," -92.79%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"35","Papua","183.00","0.00","1.00","0.00","0.83"," 83%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"37","Papua Tengah","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"INDONESIA","12,280.00","12,801.37","6,868.33","4,271.00","5,340.99"," 25.05%"
