"No","Provinsi","2017","2018","2019","2020","2021","Pertumbuhan 2021 terhadap 2020 (%)"
"1","Aceh","4,972.00","4,900.00","4,857.00","5,743.46","0.00"," -100%"
"2","Sumatera Utara","16,410.00","15,905.00","16,075.60","18,522.53","0.00"," -100%"
"3","Sumatera Barat","9,768.00","9,642.00","13,227.00","11,931.25","0.00"," -100%"
"4","Riau","2,236.00","2,325.00","2,090.70","1,993.44","0.00"," -100%"
"5","Jambi","5,536.00","6,018.00","5,434.00","4,374.51","0.00"," -100%"
"6","Sumatera Selatan","6,842.00","6,048.00","5,185.00","4,202.82","0.00"," -100%"
"7","Bengkulu","6,081.00","6,569.00","6,489.00","6,509.70","0.00"," -100%"
"8","Lampung","5,690.00","6,886.00","6,434.00","6,041.00","0.00"," -100%"
"9","Kepulauan Bangka Belitung","342.00","388.00","367.00","509.07","0.00"," -100%"
"10","Kepulauan Riau","347.00","415.00","369.00","313.18","0.00"," -100%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","21,598.00","20,678.00","19,315.50","18,266.78","0.00"," -100%"
"13","Jawa Tengah","28,481.00","25,048.00","21,956.00","22,589.55","0.00"," -100%"
"14","Daerah Istimewa Yogyakarta","3,581.00","3,777.00","3,917.50","4,587.36","0.00"," -100%"
"15","Jawa Timur","13,560.00","12,289.00","12,190.00","12,078.35","0.00"," -100%"
"16","Banten","969.00","903.00","851.00","717.25","0.00"," -100%"
"17","Bali","1,321.00","1,087.00","869.00","690.55","0.00"," -100%"
"18","Nusa Tenggara Barat","2,093.00","1,573.00","1,691.00","2,143.65","0.00"," -100%"
"19","Nusa Tenggara Timur","660.00","537.00","674.00","649.38","0.00"," -100%"
"20","Kalimantan Barat","589.00","603.00","708.00","785.80","0.00"," -100%"
"21","Kalimantan Tengah","290.00","357.00","327.70","301.80","0.00"," -100%"
"22","Kalimantan Selatan","1,635.00","1,535.00","1,638.00","1,476.00","0.00"," -100%"
"23","Kalimantan Timur","727.00","814.00","772.00","710.26","0.00"," -100%"
"24","Kalimantan Utara","294.00","264.00","269.00","262.60","0.00"," -100%"
"25","Sulawesi Utara","802.00","1,191.00","883.00","1,025.65","0.00"," -100%"
"26","Sulawesi Tengah","1,234.00","1,429.00","854.00","973.70","0.00"," -100%"
"27","Sulawesi Selatan","3,633.00","3,306.00","2,607.00","2,548.55","0.00"," -100%"
"28","Sulawesi Tenggara","567.00","433.00","539.00","660.15","0.00"," -100%"
"29","Gorontalo","62.00","78.00","43.00","75.00","0.00"," -100%"
"30","Sulawesi Barat","494.00","588.00","480.00","1,019.00","0.00"," -100%"
"31","Maluku","461.00","434.00","443.00","433.50","0.00"," -100%"
"32","Maluku Utara","593.00","819.00","1,042.00","1,025.00","0.00"," -100%"
"33","Papua Barat","283.00","228.00","326.00","269.25","0.00"," -100%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"35","Papua","396.00","529.00","510.08","299.10","0.00"," -100%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"37","Papua Tengah","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"INDONESIA","142,547.00","137,596.00","133,434.08","133,729.19","0.00"," -100%"
