"No","Provinsi","2017","2018","2019","2020","2021","Pertumbuhan 2021 terhadap 2020 (%)"
"1","Aceh","3,601.00","3,951.00","4,046.00","4,497.69","4,092.34"," -9.01%"
"2","Sumatera Utara","4,030.00","4,811.00","5,067.92","6,938.48","6,169.40"," -11.08%"
"3","Sumatera Barat","2,494.00","2,808.00","2,952.00","3,035.60","3,031.34"," -0.14%"
"4","Riau","1,623.00","1,626.00","1,324.30","1,381.62","1,128.32"," -18.33%"
"5","Jambi","2,225.00","1,621.00","1,442.00","1,579.66","1,334.73"," -15.51%"
"6","Sumatera Selatan","1,966.00","1,576.00","1,289.00","1,635.00","1,862.93"," 13.94%"
"7","Bengkulu","2,059.00","2,297.00","2,461.00","2,686.85","2,889.79"," 7.55%"
"8","Lampung","2,200.00","2,265.00","2,010.00","1,907.20","1,924.55"," 0.91%"
"9","Kepulauan Bangka Belitung","470.00","522.00","453.00","503.92","508.37"," 0.88%"
"10","Kepulauan Riau","301.00","359.00","295.25","309.18","246.29"," -20.34%"
"11","Daerah Khusus Ibukota Jakarta","0.00","2.00","0.00","0.00","0.50"," 50%"
"12","Jawa Barat","11,499.00","11,038.00","10,555.00","9,927.90","10,627.94"," 7.05%"
"13","Jawa Tengah","22,527.00","24,185.00","23,892.00","22,104.24","21,083.05"," -4.62%"
"14","Daerah Istimewa Yogyakarta","1,353.00","1,375.00","1,540.00","2,006.15","1,991.39"," -0.74%"
"15","Jawa Timur","68,212.00","70,493.00","67,767.00","78,765.35","78,955.94"," 0.24%"
"16","Banten","606.00","583.00","544.00","528.00","456.22"," -13.59%"
"17","Bali","5,177.00","3,871.00","3,704.00","3,746.28","3,499.43"," -6.59%"
"18","Nusa Tenggara Barat","8,099.00","8,297.00","7,986.00","8,679.50","8,069.69"," -7.03%"
"19","Nusa Tenggara Timur","1,312.00","1,492.00","1,712.00","1,643.07","1,392.05"," -15.28%"
"20","Kalimantan Barat","1,718.00","2,099.00","2,077.00","2,374.30","2,346.54"," -1.17%"
"21","Kalimantan Tengah","992.00","1,172.00","1,211.68","1,145.31","979.50"," -14.48%"
"22","Kalimantan Selatan","2,456.00","2,462.00","2,428.00","2,328.50","2,069.65"," -11.12%"
"23","Kalimantan Timur","1,351.00","1,328.00","1,177.00","1,476.72","1,455.50"," -1.44%"
"24","Kalimantan Utara","602.00","563.00","536.00","510.51","521.15"," 2.08%"
"25","Sulawesi Utara","3,679.00","4,160.00","3,375.00","4,075.20","3,220.95"," -20.96%"
"26","Sulawesi Tengah","2,940.00","3,985.00","3,664.00","4,113.10","4,126.29"," 0.32%"
"27","Sulawesi Selatan","6,009.00","5,743.00","5,146.00","5,229.20","4,781.70"," -8.56%"
"28","Sulawesi Tenggara","1,405.00","1,400.00","1,320.00","1,439.15","1,265.66"," -12.06%"
"29","Gorontalo","2,606.00","2,785.00","2,610.00","1,997.00","2,142.00"," 7.26%"
"30","Sulawesi Barat","674.00","686.00","600.00","1,128.00","4,304.50"," 281.6%"
"31","Maluku","863.00","878.00","933.00","893.50","754.98"," -15.5%"
"32","Maluku Utara","637.00","801.00","1,119.00","1,194.00","712.69"," -40.31%"
"33","Papua Barat","853.00","588.00","885.00","676.82","720.90"," 6.51%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"35","Papua","1,061.00","1,025.00","821.20","586.15","639.40"," 9.08%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"37","Papua Tengah","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"INDONESIA","167,600.00","172,847.00","166,943.35","181,043.15","179,305.68"," -0.96%"
