"No","Provinsi","2020","2021","2022","2023","2024","Pertumbuhan 2024 terhadap 2023 (%)"
"1","Aceh","11,581.00","10,290.00","12,454.00","11,728.37","10,090.00"," -13.97%"
"2","Sumatera Utara","135,334.00","153,632.00","207,757.00","211,105.36","210,586.00"," -0.25%"
"3","Sumatera Barat","65,756.00","67,159.00","84,565.00","79,630.77","83,918.00"," 5.38%"
"4","Riau","139.00","306.00","217.00","216.35","327.00"," 51.14%"
"5","Jambi","1,111.00","1,666.00","1,892.00","781.46","1,514.00"," 93.74%"
"6","Sumatera Selatan","35,074.00","51,691.00","60,187.00","46,247.92","53,171.00"," 14.97%"
"7","Bengkulu","4,146.00","5,983.00","10,417.00","7,900.85","9,861.00"," 24.81%"
"8","Lampung","156,655.00","172,108.00","223,860.00","166,215.32","170,017.00"," 2.29%"
"9","Kepulauan Bangka Belitung","29.00","97.00","63.00","23.25","0.00"," -100%"
"10","Kepulauan Riau","3.00","3.00","3.00","2.07","2.00"," -3.38%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","59,431.00","68,214.00","95,690.00","76,901.39","77,993.00"," 1.42%"
"13","Jawa Tengah","377,065.00","340,315.00","404,493.00","371,046.77","412,338.00"," 11.13%"
"14","Daerah Istimewa Yogyakarta","31,381.00","38,391.00","42,975.00","40,056.38","37,547.00"," -6.26%"
"15","Jawa Timur","722,182.00","687,503.00","817,449.00","759,060.89","739,157.00"," -2.62%"
"16","Banten","2,946.00","1,376.00","1,251.00","1,920.27","2,112.00"," 9.98%"
"17","Bali","7,928.00","10,246.00","10,317.00","9,277.78","7,670.00"," -17.33%"
"18","Nusa Tenggara Barat","145,563.00","156,986.00","196,065.00","179,030.00","173,760.00"," -2.94%"
"19","Nusa Tenggara Timur","107,095.00","111,362.00","113,625.00","101,512.09","108,816.00"," 7.2%"
"20","Kalimantan Barat","4,722.00","8,916.00","16,371.00","15,099.14","19,450.00"," 28.82%"
"21","Kalimantan Tengah","5,816.00","6,592.00","7,459.00","5,935.59","8,556.00"," 44.15%"
"22","Kalimantan Selatan","28,797.00","23,340.00","25,343.00","18,382.82","18,766.00"," 2.08%"
"23","Kalimantan Timur","1,989.00","2,526.00","3,624.00","1,867.63","919.00"," -50.79%"
"24","Kalimantan Utara","293.00","75.00","163.00","170.45","210.00"," 23.2%"
"25","Sulawesi Utara","42,344.00","39,056.00","34,919.00","25,262.20","30,190.00"," 19.51%"
"26","Sulawesi Tengah","14,648.00","14,152.00","22,350.00","18,002.68","19,061.00"," 5.88%"
"27","Sulawesi Selatan","213,792.00","185,725.00","196,219.00","181,800.85","191,012.00"," 5.07%"
"28","Sulawesi Tenggara","25,124.00","19,792.00","19,675.00","18,987.59","20,135.00"," 6.04%"
"29","Gorontalo","125,415.00","138,958.00","140,548.00","114,355.96","128,231.00"," 12.13%"
"30","Sulawesi Barat","2,297.00","1,575.00","5,671.00","5,617.09","6,019.00"," 7.16%"
"31","Maluku","4,325.00","3,813.00","2,698.00","2,357.12","2,239.00"," -5.01%"
"32","Maluku Utara","928.00","2,042.00","1,694.00","1,612.53","1,317.00"," -18.33%"
"33","Papua Barat","1,341.00","1,100.00","1,351.00","735.00","749.00"," 1.9%"
"34","Papua Barat Daya","0.00","0.00","0.00","275.00","228.00"," -17.09%"
"35","Papua","2,618.00","3,068.00","3,003.00","798.00","990.00"," 24.06%"
"36","Papua Selatan","0.00","0.00","0.00","15.00","409.00"," 2626.67%"
"37","Papua Tengah","0.00","0.00","0.00","2,093.00","1,244.00"," -40.56%"
"38","Papua Pegunungan","0.00","0.00","0.00","66.00","48.00"," -27.27%"
"INDONESIA","2,337,866.00","2,328,060.00","2,764,366.00","2,476,091.00","2,548,654.00"," 2.93%"
