"No","Provinsi","2020","2021","2022","2023","2024","Pertumbuhan 2024 terhadap 2023 (%)"
"1","Aceh","558.00","524.00","1,067.00","7,020.00","4,694.00"," -33.13%"
"2","Sumatera Utara","2,559.00","854.00","5,138.00","10,099.00","6,092.00"," -39.68%"
"3","Sumatera Barat","30.00","5.00","13.00","15.00","0.00"," -100%"
"4","Riau","1,823.00","622.00","301.00","448.00","138.00"," -69.2%"
"5","Jambi","5,253.00","3,283.00","2,899.00","3,190.00","399.00"," -87.49%"
"6","Sumatera Selatan","675.00","254.00","24.00","142.00","585.00"," 311.97%"
"7","Bengkulu","10.00","4.00","2.00","639.00","537.00"," -15.96%"
"8","Lampung","1,570.00","1,317.00","1,450.00","4,868.00","2,751.00"," -43.49%"
"9","Kepulauan Bangka Belitung","0.00","4.00","3.00","0.00","0.00","&nbsp;"
"10","Kepulauan Riau","0.00","0.00","4.00","3.00","0.00"," -100%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","53,273.00","18,291.00","26,226.00","27,611.00","8,397.00"," -69.59%"
"13","Jawa Tengah","22,944.00","28,431.00","35,410.00","45,444.00","33,303.00"," -26.72%"
"14","Daerah Istimewa Yogyakarta","5,889.00","6,189.00","5,365.00","7,851.00","2,675.00"," -65.93%"
"15","Jawa Timur","40,535.00","43,458.00","37,426.00","59,804.00","39,068.00"," -34.67%"
"16","Banten","578.00","359.00","2,292.00","5,773.00","846.00"," -85.35%"
"17","Bali","1,244.00","1,672.00","2,230.00","2,905.00","940.00"," -67.64%"
"18","Nusa Tenggara Barat","22,256.00","12,390.00","10,231.00","18,108.00","8,828.00"," -51.25%"
"19","Nusa Tenggara Timur","1,648.00","1,397.00","938.00","1,505.00","7,929.00"," 426.84%"
"20","Kalimantan Barat","71.00","95.00","79.00","65.00","20.00"," -69.23%"
"21","Kalimantan Tengah","94.00","20.00","7.00","116.00","29.00"," -75%"
"22","Kalimantan Selatan","1,763.00","487.00","7,360.00","2,396.00","80.00"," -96.66%"
"23","Kalimantan Timur","62.00","69.00","39.00","19.00","11.00"," -42.11%"
"24","Kalimantan Utara","1.00","3.00","0.00","132.00","0.00"," -100%"
"25","Sulawesi Utara","12,907.00","1,817.00","2.00","5,006.00","5,569.00"," 11.25%"
"26","Sulawesi Tengah","2,707.00","4,061.00","8,237.00","8,952.00","5,315.00"," -40.63%"
"27","Sulawesi Selatan","2,210.00","2,563.00","2,427.00","2,652.00","2,438.00"," -8.07%"
"28","Sulawesi Tenggara","434.00","335.00","5,676.00","2,269.00","434.00"," -80.87%"
"29","Gorontalo","691.00","335.00","1,027.00","1,505.00","3,346.00"," 122.33%"
"30","Sulawesi Barat","3,932.00","3,815.00","51.00","41.00","672.00"," 1539.02%"
"31","Maluku","2.00","4.00","34.00","96.00","122.00"," 27.08%"
"32","Maluku Utara","42.00","14.00","13.00","5.00","38.00"," 660%"
"33","Papua Barat","21.00","24.00","4.00","8.00","7.00"," -12.5%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","16.00"," 1600%"
"35","Papua","546.00","50.00","20.00","50.00","2.00"," -96%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","3.00"," 300%"
"37","Papua Tengah","0.00","0.00","0.00","0.00","3.00"," 300%"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"INDONESIA","186,324.00","132,745.00","155,997.00","218,736.00","135,284.00"," -38.15%"
