"No","Provinsi","2021","2022","2023","2024","2025","Pertumbuhan 2025 terhadap 2024 (%)"
"1","Aceh","297,058.38","271,750.16","254,287.38","301,196.35","283,182.01"," -5.98%"
"2","Sumatera Utara","385,405.00","411,462.10","406,109.49","419,463.48","535,009.20"," 27.55%"
"3","Sumatera Barat","272,391.95","271,883.11","300,564.77","295,278.98","284,075.59"," -3.79%"
"4","Riau","53,062.35","51,054.04","51,914.14","56,421.96","59,502.09"," 5.46%"
"5","Jambi","64,412.26","60,539.59","61,236.64","61,625.68","80,373.17"," 30.42%"
"6","Sumatera Selatan","496,241.65","513,378.20","504,143.03","521,092.21","636,315.64"," 22.11%"
"7","Bengkulu","55,704.69","57,151.84","57,877.18","55,775.09","51,653.87"," -7.39%"
"8","Lampung","489,573.23","518,256.06","530,108.09","531,715.12","596,017.07"," 12.09%"
"9","Kepulauan Bangka Belitung","18,278.27","15,107.80","15,284.56","18,202.56","16,286.54"," -10.53%"
"10","Kepulauan Riau","270.16","179.48","115.27","113.33","216.07"," 90.65%"
"11","Daerah Khusus Ibukota Jakarta","559.97","477.25","542.93","498.31","273.54"," -45.11%"
"12","Jawa Barat","1,604,109.00","1,662,403.00","1,583,656.00","1,475,362.09","1,755,300.24"," 18.97%"
"13","Jawa Tengah","1,696,712.36","1,688,669.65","1,642,761.23","1,554,777.14","1,674,994.11"," 7.73%"
"14","Daerah Istimewa Yogyakarta","107,506.16","110,927.24","105,693.66","96,976.13","107,224.23"," 10.57%"
"15","Jawa Timur","1,747,481.20","1,693,210.70","1,698,083.31","1,616,985.05","1,841,346.29"," 13.88%"
"16","Banten","318,248.46","337,240.74","311,200.00","299,090.79","345,420.54"," 15.49%"
"17","Bali","105,201.31","112,320.62","108,514.06","103,803.93","96,444.30"," -7.09%"
"18","Nusa Tenggara Barat","276,211.88","270,092.88","287,512.14","281,717.84","322,895.73"," 14.62%"
"19","Nusa Tenggara Timur","174,900.07","183,091.99","184,698.89","168,727.24","212,089.62"," 25.7%"
"20","Kalimantan Barat","223,166.00","241,479.00","224,069.00","247,207.72","263,551.49"," 6.61%"
"21","Kalimantan Tengah","125,870.05","108,226.75","101,580.30","111,016.13","97,151.49"," -12.49%"
"22","Kalimantan Selatan","254,263.59","214,908.91","214,283.82","246,112.42","290,332.45"," 17.97%"
"23","Kalimantan Timur","66,269.46","64,970.01","57,082.00","63,041.76","66,517.91"," 5.51%"
"24","Kalimantan Utara","8,880.83","8,604.19","6,500.00","8,282.06","10,209.52"," 23.27%"
"25","Sulawesi Utara","59,182.00","58,196.00","54,562.95","59,121.96","59,912.14"," 1.34%"
"26","Sulawesi Tengah","182,186.62","168,993.18","177,699.03","172,606.22","198,289.64"," 14.88%"
"27","Sulawesi Selatan","985,158.23","1,038,084.29","967,790.21","951,308.60","1,041,700.68"," 9.5%"
"28","Sulawesi Tenggara","127,517.29","118,259.00","113,930.26","129,999.61","151,810.91"," 16.78%"
"29","Gorontalo","48,713.50","46,823.47","49,610.47","46,952.15","53,896.54"," 14.79%"
"30","Sulawesi Barat","59,763.18","69,323.95","58,606.67","63,181.59","74,097.88"," 17.28%"
"31","Maluku","28,319.75","23,987.82","22,636.68","23,947.35","24,322.69"," 1.57%"
"32","Maluku Utara","7,782.00","6,416.00","7,709.00","9,366.71","6,655.16"," -28.95%"
"33","Papua Barat","6,414.94","5,461.00","5,006.27","5,121.13","2,663.07"," -48%"
"34","Papua Barat Daya","0.00","0.00","580.00","363.87","310.47"," -14.68%"
"35","Papua","64,984.90","49,741.91","840.18","1,068.57","432.47"," -59.53%"
"36","Papua Selatan","0.00","0.00","44,808.00","47,168.57","79,433.92"," 68.4%"
"37","Papua Tengah","0.00","0.00","2,094.00","1,436.12","999.22"," -30.42%"
"38","Papua Pegunungan","0.00","0.00","14.00","9.66","78.73"," 715.01%"
"INDONESIA","10,411,801.00","10,452,672.00","10,213,705.00","10,046,135.47","11,320,986.21"," 12.69%"
