"No","Provinsi","2020","2021","2022","2023","2024","Pertumbuhan 2024 terhadap 2023 (%)"
"1","Aceh","473.40","352.20","485.50","336.00","365.00"," 8.63%"
"2","Sumatera Utara","4,339.20","4,396.90","4,362.70","5,081.00","4,386.00"," -13.68%"
"3","Sumatera Barat","4,053.70","3,592.70","3,609.10","3,835.00","3,540.00"," -7.69%"
"4","Riau","376.40","356.10","331.80","294.00","273.00"," -7.14%"
"5","Jambi","1,458.70","1,155.70","1,090.60","1,118.00","850.00"," -23.97%"
"6","Sumatera Selatan","0.00","0.00","0.00","1,123.00","1,006.00"," -10.42%"
"7","Bengkulu","861.40","1,203.50","1,077.50","1,184.00","1,068.00"," -9.8%"
"8","Lampung","1,776.00","1,570.10","1,219.00","1,074.00","895.00"," -16.67%"
"9","Kepulauan Bangka Belitung","219.40","234.80","223.50","252.00","203.00"," -19.44%"
"10","Kepulauan Riau","137.00","83.70","92.00","141.00","157.00"," 11.35%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","19,745.10","18,506.10","20,712.60","19,961.00","19,251.00"," -3.56%"
"13","Jawa Tengah","5,976.70","5,269.00","5,676.30","4,264.00","5,233.00"," 22.73%"
"14","Daerah Istimewa Yogyakarta","153.50","121.40","157.50","220.00","84.00"," -61.82%"
"15","Jawa Timur","10,176.70","10,305.20","11,010.10","10,473.00","10,857.00"," 3.67%"
"16","Banten","967.30","963.10","850.60","850.00","665.00"," -21.76%"
"17","Bali","1,658.10","1,316.80","1,406.80","1,296.00","1,204.00"," -7.1%"
"18","Nusa Tenggara Barat","881.10","22,623.40","14,997.70","520.00","674.00"," 29.62%"
"19","Nusa Tenggara Timur","4,347.60","5,048.00","5,554.70","5,028.00","4,947.00"," -1.61%"
"20","Kalimantan Barat","1,166.70","1,107.40","1,211.20","1,041.00","1,045.00"," 0.38%"
"21","Kalimantan Tengah","512.80","537.10","534.80","380.00","288.00"," -24.21%"
"22","Kalimantan Selatan","575.30","607.90","355.80","427.00","371.00"," -13.11%"
"23","Kalimantan Timur","899.30","887.40","657.80","623.00","662.00"," 6.26%"
"24","Kalimantan Utara","130.80","176.30","88.60","64.00","46.00"," -28.13%"
"25","Sulawesi Utara","2,379.40","1,608.40","1,304.90","1,479.00","1,380.00"," -6.69%"
"26","Sulawesi Tengah","1,392.10","1,180.30","984.90","801.00","629.00"," -21.47%"
"27","Sulawesi Selatan","2,970.50","2,219.00","2,314.50","2,766.00","2,818.00"," 1.88%"
"28","Sulawesi Tenggara","1,479.80","1,343.00","1,180.60","949.00","1,231.00"," 29.72%"
"29","Gorontalo","31.00","32.00","31.00","33.00","23.00"," -30.3%"
"30","Sulawesi Barat","0.00","0.00","0.00","429.00","404.00"," -5.83%"
"31","Maluku","0.00","0.00","0.00","956.00","1,500.00"," 56.9%"
"32","Maluku Utara","512.60","796.80","936.00","172.00","1,273.00"," 640.12%"
"33","Papua Barat","0.00","0.00","0.00","308.00","214.00"," -30.52%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","173.00"," 17300%"
"35","Papua","13,509.30","402.20","16,140.30","0.00","482.00"," 48200%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","570.00"," 57000%"
"37","Papua Tengah","0.00","0.00","0.00","0.00","635.00"," 63500%"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","6.00"," 600%"
"INDONESIA","75,947.00","67,705.00","69,974.00","67,478.00","69,405.00"," 2.86%"
