"No","Provinsi","2020","2021","2022","2023","2024","Pertumbuhan 2024 terhadap 2023 (%)"
"1","Aceh","473.40","352.20","459.50","991.00","1,175.00"," 18.57%"
"2","Sumatera Utara","27,130.90","26,654.70","26,638.70","28,039.00","26,105.00"," -6.9%"
"3","Sumatera Barat","3,626.30","3,443.70","3,459.80","3,191.00","2,794.00"," -12.44%"
"4","Riau","4,430.70","3,398.50","2,463.10","2,260.00","2,101.00"," -7.04%"
"5","Jambi","1,458.70","1,155.70","1,090.60","1,640.00","1,473.00"," -10.18%"
"6","Sumatera Selatan","0.00","0.00","0.00","5,143.00","4,611.00"," -10.34%"
"7","Bengkulu","1,131.00","1,157.30","1,140.00","992.00","1,253.00"," 26.31%"
"8","Lampung","221,709.80","225,464.60","257,260.50","262,270.00","268,236.00"," 2.27%"
"9","Kepulauan Bangka Belitung","4,939.00","3,471.60","3,096.30","2,151.00","2,059.00"," -4.28%"
"10","Kepulauan Riau","535.30","479.90","504.10","473.00","470.00"," -0.63%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","46,182.80","48,204.50","49,283.20","42,968.00","42,524.00"," -1.03%"
"13","Jawa Tengah","109,508.40","97,975.60","94,519.10","88,739.00","77,501.00"," -12.66%"
"14","Daerah Istimewa Yogyakarta","46,977.60","46,807.00","45,457.50","46,422.00","44,515.00"," -4.11%"
"15","Jawa Timur","79,989.20","87,740.10","75,195.10","65,235.00","63,843.00"," -2.13%"
"16","Banten","2,711.90","2,649.60","2,434.00","1,939.00","1,802.00"," -7.07%"
"17","Bali","5,753.30","6,184.20","9,963.00","5,700.00","2,345.00"," -58.86%"
"18","Nusa Tenggara Barat","2,126.50","2,652.20","1,640.80","1,284.00","1,252.00"," -2.49%"
"19","Nusa Tenggara Timur","41,321.70","37,722.80","36,417.30","27,155.00","27,904.00"," 2.76%"
"20","Kalimantan Barat","6,746.50","8,477.20","6,437.30","5,638.00","5,512.00"," -2.23%"
"21","Kalimantan Tengah","2,281.70","2,214.60","2,099.20","1,639.00","1,245.00"," -24.04%"
"22","Kalimantan Selatan","1,685.80","1,350.50","1,100.80","947.00","1,033.00"," 9.08%"
"23","Kalimantan Timur","2,342.10","2,161.40","1,791.90","1,532.00","1,958.00"," 27.81%"
"24","Kalimantan Utara","1,161.00","1,069.70","1,144.90","1,141.00","1,336.00"," 17.09%"
"25","Sulawesi Utara","2,899.50","2,519.90","2,061.30","1,734.00","1,978.00"," 14.07%"
"26","Sulawesi Tengah","1,688.60","1,517.70","1,525.10","1,140.00","887.00"," -22.19%"
"27","Sulawesi Selatan","9,042.30","11,419.10","10,069.10","10,296.00","9,422.00"," -8.49%"
"28","Sulawesi Tenggara","6,578.00","5,189.50","4,709.40","4,067.00","4,524.00"," 11.24%"
"29","Gorontalo","63.00","103.00","107.80","127.00","68.00"," -46.46%"
"30","Sulawesi Barat","0.00","0.00","0.00","913.00","963.00"," 5.48%"
"31","Maluku","0.00","0.00","0.00","1,825.00","3,692.00"," 102.3%"
"32","Maluku Utara","1,400.60","1,796.50","1,742.10","354.00","2,464.00"," 596.05%"
"33","Papua Barat","0.00","0.00","0.00","326.00","325.00"," -0.31%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","234.00"," 23400%"
"35","Papua","1,800.00","315.90","12,395.60","0.00","533.00"," 53300%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","667.00"," 66700%"
"37","Papua Tengah","0.00","0.00","0.00","0.00","354.00"," 35400%"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","4.00"," 400%"
"INDONESIA","650,287.00","631,161.00","549,226.00","618,270.00","609,159.00"," -1.47%"
