"No","Provinsi","2019","2020","2021","2022","2023","Pertumbuhan 2023 terhadap 2022 (%)"
"1","Aceh","8,839.60","11,246.48","10,135.69","10,070.34","13,672.62"," 35.77%"
"2","Sumatera Utara","18,071.66","29,222.12","53,962.06","64,834.92","65,585.18"," 1.16%"
"3","Sumatera Barat","122,398.90","153,770.19","200,365.57","207,375.83","233,917.27"," 12.8%"
"4","Riau","506.70","263.25","329.49","195.31","322.74"," 65.25%"
"5","Jambi","9,686.30","11,976.59","13,263.66","16,050.19","18,401.31"," 14.65%"
"6","Sumatera Selatan","1,390.00","934.10","1,124.56","1,129.89","1,197.02"," 5.94%"
"7","Bengkulu","523.40","1,153.40","990.06","1,023.28","670.60"," -34.47%"
"8","Lampung","3,634.20","2,104.80","1,761.85","1,726.66","2,192.97"," 27.01%"
"9","Kepulauan Bangka Belitung","170.00","157.41","207.86","78.71","175.71"," 123.23%"
"10","Kepulauan Riau","94.60","122.59","33.21","41.44","16.98"," -59.03%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","1.88","1.38","0.28"," -79.51%"
"12","Jawa Barat","173,463.20","164,826.53","170,650.33","193,318.33","179,355.38"," -7.22%"
"13","Jawa Tengah","481,889.50","611,165.06","564,254.65","556,509.80","479,090.87"," -13.91%"
"14","Daerah Istimewa Yogyakarta","16,998.50","18,810.51","29,808.66","22,306.60","32,952.57"," 47.73%"
"15","Jawa Timur","407,877.10","454,583.67","500,992.14","478,393.29","484,669.46"," 1.31%"
"16","Banten","1,544.60","1,404.05","1,189.58","1,372.39","860.02"," -37.33%"
"17","Bali","19,686.80","14,207.43","23,215.15","31,492.39","35,373.94"," 12.33%"
"18","Nusa Tenggara Barat","188,254.50","188,740.43","222,619.74","201,155.22","212,618.32"," 5.7%"
"19","Nusa Tenggara Timur","8,254.00","10,423.77","11,429.98","7,584.47","11,409.10"," 50.43%"
"20","Kalimantan Barat","53.30","226.90","103.70","44.04","109.48"," 148.56%"
"21","Kalimantan Tengah","395.50","79.18","34.13","111.81","72.30"," -35.33%"
"22","Kalimantan Selatan","1,143.10","461.70","388.58","245.97","483.45"," 96.55%"
"23","Kalimantan Timur","172.50","267.16","72.35","114.46","252.19"," 120.34%"
"24","Kalimantan Utara","139.00","90.20","87.50","7.34","350.50"," 4675.2%"
"25","Sulawesi Utara","3,139.30","4,936.59","4,985.98","5,019.63","3,153.00"," -37.19%"
"26","Sulawesi Tengah","6,507.80","5,725.50","4,651.65","3,453.99","3,227.67"," -6.55%"
"27","Sulawesi Selatan","101,762.00","124,381.20","183,209.55","175,159.91","201,421.45"," 14.99%"
"28","Sulawesi Tenggara","390.00","655.00","1,015.26","449.32","490.74"," 9.22%"
"29","Gorontalo","628.60","475.80","346.30","417.60","237.35"," -43.16%"
"30","Sulawesi Barat","506.60","631.07","693.11","748.12","1,075.70"," 43.79%"
"31","Maluku","735.60","1,106.20","1,012.55","759.34","606.78"," -20.09%"
"32","Maluku Utara","623.80","951.22","1,231.37","804.68","610.64"," -24.11%"
"33","Papua Barat","183.90","136.20","118.46","77.55","342.77"," 342%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"35","Papua","578.20","209.05","303.78","286.04","316.99"," 10.82%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"37","Papua Tengah","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"INDONESIA","1,580,242.76","1,815,445.34","2,004,590.38","1,982,360.22","1,985,233.34"," 0.14%"
