"No","Provinsi","2019","2020","2021","2022","2023","Pertumbuhan 2023 terhadap 2022 (%)"
"1","Aceh","288.40","795.60","30.00","10.00","20.00"," 100%"
"2","Sumatera Utara","974.90","1,338.70","805.07","20.50","15.40"," -24.88%"
"3","Sumatera Barat","1,866.40","4,906.30","1,838.84","790.71","587.84"," -25.66%"
"4","Riau","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"5","Jambi","395.00","501.50","132.40","13.00","527.00"," 3953.85%"
"6","Sumatera Selatan","156.70","115.40","35.60","467.00","49.50"," -89.4%"
"7","Bengkulu","137.00","970.60","251.87","285.40","15.00"," -94.74%"
"8","Lampung","48.90","808.20","111.70","3.00","0.68"," -77.5%"
"9","Kepulauan Bangka Belitung","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"10","Kepulauan Riau","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","6,697.70","3,253.00","963.20","416.50","207.60"," -50.16%"
"13","Jawa Tengah","36,178.90","33,303.55","25,544.55","21,620.23","29,047.31"," 34.35%"
"14","Daerah Istimewa Yogyakarta","0.00","0.68","0.00","0.00","0.00","&nbsp;"
"15","Jawa Timur","6,934.60","5,898.00","4,219.64","854.54","1,053.27"," 23.26%"
"16","Banten","0.00","0.00","0.60","0.00","0.00","&nbsp;"
"17","Bali","1,562.90","1,329.01","1,039.92","689.30","167.07"," -75.76%"
"18","Nusa Tenggara Barat","30,453.40","24,608.70","9,223.40","4,761.35","7,056.76"," 48.21%"
"19","Nusa Tenggara Timur","868.30","973.71","578.72","482.66","345.75"," -28.37%"
"20","Kalimantan Barat","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"21","Kalimantan Tengah","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"22","Kalimantan Selatan","1.30","0.00","0.00","0.00","0.00","&nbsp;"
"23","Kalimantan Timur","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"24","Kalimantan Utara","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"25","Sulawesi Utara","1,896.00","875.05","11.20","0.00","0.00","&nbsp;"
"26","Sulawesi Tengah","55.00","934.40","211.00","116.00","151.90"," 30.95%"
"27","Sulawesi Selatan","281.80","306.55","47.10","1.40","0.75"," -46.43%"
"28","Sulawesi Tenggara","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"29","Gorontalo","0.00","0.00","6.00","0.00","0.00","&nbsp;"
"30","Sulawesi Barat","0.00","885.65","36.00","48.00","8.00"," -83.33%"
"31","Maluku","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"32","Maluku Utara","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"33","Papua Barat","0.00","0.00","4.56","2.73","0.10"," -96.19%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"35","Papua","19.30","0.00","0.20","0.00","0.50"," 50%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"37","Papua Tengah","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"INDONESIA","88,816.50","81,804.60","45,091.57","30,582.31","39,254.43"," 28.36%"
