"No","Provinsi","2017","2018","2019","2020","2021","Pertumbuhan 2021 terhadap 2020 (%)"
"1","Aceh","53,041.20","68,151.30","63,595.20","73,443.70","0.00"," -100%"
"2","Sumatera Utara","159,131.00","155,834.60","154,008.30","193,861.69","0.00"," -100%"
"3","Sumatera Barat","95,489.40","106,061.00","139,993.60","133,189.78","0.00"," -100%"
"4","Riau","15,813.40","17,323.90","17,512.90","16,735.12","0.00"," -100%"
"5","Jambi","31,571.60","38,002.50","42,697.61","47,133.08","0.00"," -100%"
"6","Sumatera Selatan","40,467.60","41,814.00","40,478.60","28,496.89","0.00"," -100%"
"7","Bengkulu","32,145.40","39,793.60","37,811.80","39,637.74","0.00"," -100%"
"8","Lampung","50,203.20","45,380.20","40,101.00","37,986.56","0.00"," -100%"
"9","Kepulauan Bangka Belitung","1,992.60","2,500.70","2,467.70","6,954.61","0.00"," -100%"
"10","Kepulauan Riau","1,944.20","2,922.80","4,351.20","4,181.50","0.00"," -100%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","274,311.20","274,037.40","263,949.20","266,066.63","0.00"," -100%"
"13","Jawa Tengah","195,570.50","171,796.00","164,905.60","166,259.50","0.00"," -100%"
"14","Daerah Istimewa Yogyakarta","29,516.40","34,443.30","32,932.60","44,520.96","0.00"," -100%"
"15","Jawa Timur","100,977.00","91,965.40","104,677.00","99,109.87","0.00"," -100%"
"16","Banten","6,464.20","6,712.20","7,103.50","6,946.92","0.00"," -100%"
"17","Bali","12,699.80","13,500.80","10,188.50","8,049.05","0.00"," -100%"
"18","Nusa Tenggara Barat","31,818.60","23,997.80","17,679.20","20,092.39","0.00"," -100%"
"19","Nusa Tenggara Timur","2,476.30","1,863.60","2,920.10","3,349.68","0.00"," -100%"
"20","Kalimantan Barat","1,664.80","886.20","1,613.40","2,021.59","0.00"," -100%"
"21","Kalimantan Tengah","636.80","1,049.10","1,283.22","1,379.91","0.00"," -100%"
"22","Kalimantan Selatan","10,358.40","11,162.10","11,392.00","12,654.60","0.00"," -100%"
"23","Kalimantan Timur","3,503.10","4,166.70","4,614.10","4,290.06","0.00"," -100%"
"24","Kalimantan Utara","1,809.50","1,841.70","2,119.80","1,778.05","0.00"," -100%"
"25","Sulawesi Utara","4,877.10","6,267.70","5,537.20","8,673.54","0.00"," -100%"
"26","Sulawesi Tengah","6,682.60","7,947.20","5,341.60","7,238.40","0.00"," -100%"
"27","Sulawesi Selatan","32,289.10","26,944.00","21,054.60","17,549.19","0.00"," -100%"
"28","Sulawesi Tenggara","1,206.20","1,106.80","1,408.40","1,962.50","0.00"," -100%"
"29","Gorontalo","209.20","257.10","262.10","334.10","0.00"," -100%"
"30","Sulawesi Barat","1,855.00","2,266.40","2,198.00","1,281.70","0.00"," -100%"
"31","Maluku","1,611.10","1,862.60","1,469.90","2,035.06","0.00"," -100%"
"32","Maluku Utara","1,376.20","1,215.30","4,548.10","4,169.56","0.00"," -100%"
"33","Papua Barat","99.90","251.30","1,168.20","812.29","0.00"," -100%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"35","Papua","2,453.30","3,412.00","3,033.36","1,993.39","0.00"," -100%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"37","Papua Tengah","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"INDONESIA","1,206,266.00","1,206,737.30","1,214,417.59","1,264,189.59","0.00"," -100%"
