"No","Provinsi","2020","2021","2022","2023","2024","Pertumbuhan 2024 terhadap 2023 (%)"
"1","Aceh","63,951.00","57,836.00","72,242.00","66,364.00","52,249.00"," -21.27%"
"2","Sumatera Utara","783,127.00","956,939.00","1,307,477.00","1,343,291.00","1,373,900.00"," 2.28%"
"3","Sumatera Barat","425,025.00","437,814.00","569,450.00","495,223.00","518,316.00"," 4.66%"
"4","Riau","473.00","990.00","753.00","689.00","1,139.00"," 65.31%"
"5","Jambi","7,604.00","9,719.00","10,477.00","4,725.00","10,531.00"," 122.88%"
"6","Sumatera Selatan","211,736.00","316,506.00","460,321.00","284,643.00","338,999.00"," 19.1%"
"7","Bengkulu","23,416.00","36,935.00","71,756.00","50,421.00","62,877.00"," 24.7%"
"8","Lampung","971,957.00","1,129,112.00","1,443,096.00","1,103,640.00","1,107,739.00"," 0.37%"
"9","Kepulauan Bangka Belitung","127.00","349.00","258.00","111.00","0.00"," -100%"
"10","Kepulauan Riau","15.20","12.80","12.60","10.00","12.00"," 20%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","418,402.00","491,528.00","727,068.00","577,185.00","564,291.00"," -2.23%"
"13","Jawa Tengah","2,279,146.00","2,128,959.00","2,424,371.00","2,174,484.00","2,426,509.00"," 11.59%"
"14","Daerah Istimewa Yogyakarta","169,431.00","197,155.00","218,046.00","217,546.00","189,378.00"," -12.95%"
"15","Jawa Timur","4,134,908.00","3,991,492.00","4,952,603.00","4,795,781.00","4,595,792.00"," -4.17%"
"16","Banten","20,350.00","9,394.00","9,603.00","14,367.00","12,677.00"," -11.76%"
"17","Bali","34,995.00","50,118.00","53,206.00","46,902.00","39,055.00"," -16.73%"
"18","Nusa Tenggara Barat","860,495.00","1,019,225.00","1,421,922.00","1,281,035.00","1,209,784.00"," -5.56%"
"19","Nusa Tenggara Timur","255,453.00","285,345.00","293,719.00","261,855.00","293,052.00"," 11.91%"
"20","Kalimantan Barat","20,284.00","44,252.00","71,717.00","66,248.00","90,419.00"," 36.49%"
"21","Kalimantan Tengah","30,998.00","35,440.00","35,934.00","25,483.00","44,638.00"," 75.17%"
"22","Kalimantan Selatan","152,797.00","135,326.00","152,255.00","112,150.00","109,438.00"," -2.42%"
"23","Kalimantan Timur","10,585.00","14,555.00","17,045.00","11,228.00","3,955.00"," -64.78%"
"24","Kalimantan Utara","1,169.00","385.00","860.00","856.00","1,058.00"," 23.6%"
"25","Sulawesi Utara","174,418.00","166,580.00","119,008.00","83,046.00","112,772.00"," 35.79%"
"26","Sulawesi Tengah","65,596.00","63,515.00","96,200.00","72,982.00","84,798.00"," 16.19%"
"27","Sulawesi Selatan","1,086,933.00","1,033,341.00","1,152,063.00","1,025,516.00","1,131,504.00"," 10.34%"
"28","Sulawesi Tenggara","98,972.00","78,350.00","78,163.00","69,512.00","79,444.00"," 14.29%"
"29","Gorontalo","580,370.00","669,890.00","692,439.00","527,923.00","625,972.00"," 18.57%"
"30","Sulawesi Barat","11,240.00","7,967.00","30,187.00","29,098.00","30,296.00"," 4.12%"
"31","Maluku","14,935.00","14,692.00","15,687.00","7,663.00","7,583.00"," -1.04%"
"32","Maluku Utara","3,816.00","10,329.00","7,712.00","6,871.00","4,530.00"," -34.07%"
"33","Papua Barat","5,099.00","4,753.00","6,481.00","3,311.00","3,720.00"," 12.35%"
"34","Papua Barat Daya","0.00","0.00","0.00","1,412.00","1,189.00"," -15.79%"
"35","Papua","11,120.00","16,120.00","15,140.00","3,429.00","3,913.00"," 14.11%"
"36","Papua Selatan","0.00","0.00","0.00","69.00","2,098.00"," 2940.58%"
"37","Papua Tengah","0.00","0.00","0.00","9,082.00","5,036.00"," -44.55%"
"38","Papua Pegunungan","0.00","0.00","0.00","279.00","247.00"," -11.47%"
"INDONESIA","12,928,941.00","13,414,922.00","16,527,273.00","14,774,433.00","15,138,912.00"," 2.47%"
