"No","Provinsi","2020","2021","2022","2023","2024","Pertumbuhan 2024 terhadap 2023 (%)"
"1","Aceh","774.00","882.00","1,786.00","11,604.00","7,101.00"," -38.81%"
"2","Sumatera Utara","3,302.00","1,442.00","8,494.00","15,993.00","13,760.00"," -13.96%"
"3","Sumatera Barat","48.00","7.00","20.00","23.00","0.00"," -100%"
"4","Riau","2,600.00","541.00","254.00","364.00","219.00"," -39.84%"
"5","Jambi","8,278.00","6,504.00","5,801.00","4,512.00","866.00"," -80.81%"
"6","Sumatera Selatan","1,062.00","402.00","38.00","210.00","882.00"," 320%"
"7","Bengkulu","16.00","6.00","3.00","999.00","908.00"," -9.11%"
"8","Lampung","2,497.00","1,923.00","2,060.00","7,412.00","5,697.00"," -23.14%"
"9","Kepulauan Bangka Belitung","0.00","8.00","5.00","0.00","0.00","&nbsp;"
"10","Kepulauan Riau","0.00","0.00","7.00","5.00","0.00"," -100%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","90,514.00","23,095.00","48,781.00","38,546.00","13,154.00"," -65.87%"
"13","Jawa Tengah","43,796.00","51,769.00","63,315.00","81,315.00","70,905.00"," -12.8%"
"14","Daerah Istimewa Yogyakarta","8,160.00","8,151.00","6,959.00","10,103.00","3,587.00"," -64.5%"
"15","Jawa Timur","68,386.00","73,746.00","65,164.00","100,006.00","66,857.00"," -33.15%"
"16","Banten","911.00","386.00","2,374.00","8,073.00","1,591.00"," -80.29%"
"17","Bali","2,339.00","2,956.00","3,934.00","5,158.00","1,605.00"," -68.88%"
"18","Nusa Tenggara Barat","32,415.00","19,412.00","16,547.00","30,494.00","10,064.00"," -67%"
"19","Nusa Tenggara Timur","2,069.00","2,293.00","1,485.00","2,503.00","7,127.00"," 184.74%"
"20","Kalimantan Barat","71.00","252.00","206.00","109.00","28.00"," -74.31%"
"21","Kalimantan Tengah","150.00","32.00","11.00","181.00","34.00"," -81.22%"
"22","Kalimantan Selatan","2,295.00","852.00","12,467.00","3,929.00","126.00"," -96.79%"
"23","Kalimantan Timur","95.00","115.00","63.00","31.00","18.00"," -41.94%"
"24","Kalimantan Utara","1.00","5.00","0.00","200.00","0.00"," -100%"
"25","Sulawesi Utara","20,735.00","2,812.00","2.00","7,729.00","8,381.00"," 8.44%"
"26","Sulawesi Tengah","3,334.00","4,230.00","8,365.00","9,317.00","6,586.00"," -29.31%"
"27","Sulawesi Selatan","2,309.00","4,672.00","4,299.00","4,025.00","3,643.00"," -9.49%"
"28","Sulawesi Tenggara","821.00","574.00","9,339.00","3,549.00","585.00"," -83.52%"
"29","Gorontalo","1,146.00","577.00","1,694.00","2,412.00","5,044.00"," 109.12%"
"30","Sulawesi Barat","6,707.00","8,633.00","118.00","65.00","1,110.00"," 1607.69%"
"31","Maluku","3.00","6.00","53.00","135.00","222.00"," 64.44%"
"32","Maluku Utara","66.00","22.00","20.00","8.00","58.00"," 625%"
"33","Papua Barat","30.00","38.00","6.00","13.00","10.00"," -23.08%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","25.00"," 2500%"
"35","Papua","671.00","70.00","27.00","75.00","3.00"," -96%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","5.00"," 500%"
"37","Papua Tengah","0.00","0.00","0.00","0.00","7.00"," 700%"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"INDONESIA","305,601.00","216,413.00","263,696.00","349,099.00","230,209.00"," -34.06%"
