"No","Provinsi","2021","2022","2023","2024","2025","Pertumbuhan 2025 terhadap 2024 (%)"
"1","Aceh","1,634,639.60","1,509,456.46","1,404,234.82","1,659,966.28","1,615,200.08"," -2.7%"
"2","Sumatera Utara","2,004,142.51","2,088,583.81","2,087,474.15","2,204,875.51","2,752,655.35"," 24.84%"
"3","Sumatera Barat","1,317,209.38","1,373,532.19","1,482,468.79","1,356,467.93","1,382,696.68"," 1.93%"
"4","Riau","217,458.87","213,557.23","205,972.55","222,055.71","232,071.27"," 4.51%"
"5","Jambi","298,149.25","277,743.83","275,941.45","281,022.05","367,791.00"," 30.88%"
"6","Sumatera Selatan","2,552,443.19","2,775,069.26","2,832,773.92","2,909,411.67","3,627,022.14"," 24.67%"
"7","Bengkulu","271,117.19","281,610.09","286,684.43","272,848.55","266,567.39"," -2.3%"
"8","Lampung","2,485,452.78","2,688,159.74","2,757,898.19","2,791,347.53","3,252,627.27"," 16.53%"
"9","Kepulauan Bangka Belitung","70,496.25","61,425.07","66,468.89","77,489.79","64,303.50"," -17.02%"
"10","Kepulauan Riau","855.01","506.91","324.01","305.09","688.29"," 125.6%"
"11","Daerah Khusus Ibukota Jakarta","3,249.47","2,337.77","2,674.28","2,306.54","1,487.45"," -35.51%"
"12","Jawa Barat","9,113,574.00","9,433,723.00","9,140,039.00","8,626,879.91","10,226,653.75"," 18.54%"
"13","Jawa Tengah","9,618,656.81","9,356,445.49","9,084,107.53","8,891,297.05","9,304,062.84"," 4.64%"
"14","Daerah Istimewa Yogyakarta","556,531.03","561,699.53","534,113.69","452,831.77","547,510.10"," 20.91%"
"15","Jawa Timur","9,789,587.67","9,526,515.67","9,710,661.33","9,270,435.29","10,438,360.58"," 12.6%"
"16","Banten","1,603,247.00","1,788,582.60","1,686,483.29","1,550,623.46","1,774,016.87"," 14.41%"
"17","Bali","618,910.81","680,601.60","673,580.65","635,473.35","587,866.28"," -7.49%"
"18","Nusa Tenggara Barat","1,419,559.84","1,452,945.47","1,538,536.92","1,453,408.37","1,708,618.85"," 17.56%"
"19","Nusa Tenggara Timur","731,877.74","756,049.91","766,810.46","707,792.54","968,324.36"," 36.81%"
"20","Kalimantan Barat","711,897.00","731,226.00","700,291.00","764,784.15","757,829.16"," -0.91%"
"21","Kalimantan Tengah","381,189.55","343,918.75","330,781.05","366,146.82","333,428.63"," -8.94%"
"22","Kalimantan Selatan","1,016,314.00","819,419.00","875,545.73","1,029,567.93","1,179,338.37"," 14.55%"
"23","Kalimantan Timur","244,677.96","239,425.34","226,972.07","249,643.19","270,866.92"," 8.5%"
"24","Kalimantan Utara","29,967.31","30,533.59","23,602.11","30,079.77","38,038.08"," 26.46%"
"25","Sulawesi Utara","232,885.00","243,730.00","238,193.41","273,134.94","265,111.82"," -2.94%"
"26","Sulawesi Tengah","867,012.77","744,408.70","821,367.41","761,936.39","920,086.08"," 20.76%"
"27","Sulawesi Selatan","5,090,637.23","5,360,169.37","4,876,386.11","4,818,429.39","5,466,592.36"," 13.45%"
"28","Sulawesi Tenggara","530,029.08","478,958.03","479,407.25","555,836.08","680,820.20"," 22.49%"
"29","Gorontalo","234,392.86","240,134.53","251,431.76","234,862.88","281,171.26"," 19.72%"
"30","Sulawesi Barat","311,072.46","353,513.29","291,458.59","318,876.59","386,084.41"," 21.08%"
"31","Maluku","116,803.67","92,601.06","79,958.34","91,125.35","103,818.57"," 13.93%"
"32","Maluku Utara","28,052.00","24,486.00","26,663.00","31,232.95","22,641.62"," -27.51%"
"33","Papua Barat","26,926.93","23,963.92","22,566.81","20,729.15","13,365.79"," -35.52%"
"34","Papua Barat Daya","0.00","0.00","2,397.00","988.64","830.38"," -16.01%"
"35","Papua","286,279.80","193,943.47","3,760.45","4,609.95","1,859.06"," -59.67%"
"36","Papua Selatan","0.00","0.00","183,628.00","217,789.62","362,542.11"," 66.46%"
"37","Papua Tengah","0.00","0.00","9,273.00","6,072.38","3,805.44"," -37.33%"
"38","Papua Pegunungan","0.00","0.00","62.00","42.38","89.42"," 111%"
"INDONESIA","54,415,294.00","54,748,977.00","53,980,993.00","53,142,726.94","60,206,843.73"," 13.29%"
