"No","Provinsi","2020","2021","2022","2023","2024","Pertumbuhan 2024 terhadap 2023 (%)"
"1","Aceh","6,297.58","7,548.96","8,586.66","7,207.00","5,800.00"," -19.52%"
"2","Sumatera Utara","88,691.96","80,347.66","77,840.88","92,617.00","81,715.00"," -11.77%"
"3","Sumatera Barat","142,194.61","121,767.00","131,841.73","130,296.00","98,284.00"," -24.57%"
"4","Riau","9,444.84","7,533.03","6,103.34","3,378.00","4,605.00"," 36.32%"
"5","Jambi","43,457.60","34,573.62","34,573.62","25,817.00","28,477.00"," 10.3%"
"6","Sumatera Selatan","0.00","0.00","0.00","29,054.00","23,278.00"," -19.88%"
"7","Bengkulu","16,157.57","24,170.64","22,018.95","24,234.00","18,140.00"," -25.15%"
"8","Lampung","28,921.70","31,045.48","23,264.11","29,589.00","21,692.00"," -26.69%"
"9","Kepulauan Bangka Belitung","2,843.03","2,435.60","2,132.34","2,062.00","1,767.00"," -14.31%"
"10","Kepulauan Riau","1,448.92","1,312.38","1,162.35","2,202.00","2,156.00"," -2.09%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","428,336.78","489,919.00","590,206.08","387,061.00","458,605.00"," 18.48%"
"13","Jawa Tengah","152,542.04","121,393.25","135,428.45","109,194.00","123,210.00"," 12.84%"
"14","Daerah Istimewa Yogyakarta","3,489.55","1,630.03","3,003.86","3,474.00","1,483.00"," -57.31%"
"15","Jawa Timur","284,444.35","324,542.05","346,940.70","333,953.00","329,760.00"," -1.26%"
"16","Banten","15,945.45","13,132.61","17,714.28","11,916.00","14,147.00"," 18.72%"
"17","Bali","20,899.82","17,441.41","13,623.24","18,942.00","19,738.00"," 4.2%"
"18","Nusa Tenggara Barat","16,717.47","6,940.55","8,459.16","6,086.00","13,433.00"," 120.72%"
"19","Nusa Tenggara Timur","31,931.46","32,139.14","41,193.27","36,908.00","31,895.00"," -13.58%"
"20","Kalimantan Barat","22,710.48","20,060.60","23,074.86","18,186.00","17,483.00"," -3.87%"
"21","Kalimantan Tengah","6,209.55","7,452.95","9,146.29","5,220.00","3,090.00"," -40.8%"
"22","Kalimantan Selatan","9,013.16","12,532.44","6,151.66","8,645.00","8,091.00"," -6.41%"
"23","Kalimantan Timur","16,479.67","15,492.51","12,286.86","11,511.00","10,064.00"," -12.57%"
"24","Kalimantan Utara","1,365.49","2,670.19","1,217.86","967.00","874.00"," -9.62%"
"25","Sulawesi Utara","25,365.96","17,072.59","15,968.46","13,691.00","17,199.00"," 25.62%"
"26","Sulawesi Tengah","24,829.71","16,562.18","16,563.81","14,988.00","9,364.00"," -37.52%"
"27","Sulawesi Selatan","64,603.17","43,417.76","32,913.42","59,321.00","55,537.00"," -6.38%"
"28","Sulawesi Tenggara","18,326.69","15,468.86","14,040.15","10,864.00","13,879.00"," 27.75%"
"29","Gorontalo","481.41","350.35","645.69","474.00","390.00"," -17.72%"
"30","Sulawesi Barat","0.00","0.00","0.00","7,116.00","5,410.00"," -23.97%"
"31","Maluku","0.00","0.00","0.00","18,932.00","24,956.00"," 31.82%"
"32","Maluku Utara","5,290.65","13,225.65","13,766.17","1,755.00","16,759.00"," 854.93%"
"33","Papua Barat","0.00","0.00","0.00","4,684.00","2,451.00"," -47.67%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","2,070.00"," 207000%"
"35","Papua","136,071.87","8,281.14","319,322.11","0.00","3,235.00"," 323500%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","10,049.00"," 1004900%"
"37","Papua Tengah","0.00","0.00","0.00","0.00","10,426.00"," 1042600%"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","84.00"," 8400%"
"INDONESIA","1,604,184.00","1,424,147.00","1,511,041.00","1,430,341.00","1,489,596.00"," 4.14%"
