"No","Provinsi","2020","2021","2022","2023","2024","Pertumbuhan 2024 terhadap 2023 (%)"
"1","Aceh","6,297.58","7,548.96","8,586.66","36,087.00","32,391.00"," -10.24%"
"2","Sumatera Utara","1,083,732.68","1,062,951.86","951,665.99","1,099,641.00","1,007,999.00"," -8.33%"
"3","Sumatera Barat","150,689.85","141,837.59","117,226.57","131,981.00","99,620.00"," -24.52%"
"4","Riau","142,398.33","101,477.45","63,400.57","57,786.00","61,728.00"," 6.82%"
"5","Jambi","43,457.60","34,573.62","34,573.62","54,739.00","49,041.00"," -10.41%"
"6","Sumatera Selatan","0.00","0.00","0.00","207,205.00","165,246.00"," -20.25%"
"7","Bengkulu","31,506.78","29,426.57","29,851.05","25,730.00","35,041.00"," 36.19%"
"8","Lampung","5,846,981.32","6,194,601.11","7,372,785.87","7,227,672.00","7,906,179.00"," 9.39%"
"9","Kepulauan Bangka Belitung","142,899.44","105,162.72","86,993.97","48,315.00","55,682.00"," 15.25%"
"10","Kepulauan Riau","17,275.14","15,808.37","15,063.75","16,007.00","15,872.00"," -0.84%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"12","Jawa Barat","1,458,674.61","1,580,521.29","1,510,968.30","1,188,760.00","1,349,393.00"," 13.51%"
"13","Jawa Tengah","3,404,061.64","2,859,001.33","2,749,004.10","2,662,480.00","2,183,991.00"," -17.97%"
"14","Daerah Istimewa Yogyakarta","963,394.83","869,132.59","924,289.33","1,072,518.00","730,469.00"," -31.89%"
"15","Jawa Timur","1,674,571.69","1,990,572.48","1,677,383.96","1,452,965.00","1,560,752.00"," 7.42%"
"16","Banten","59,542.85","73,932.06","74,704.73","54,238.00","47,127.00"," -13.11%"
"17","Bali","76,028.05","105,548.18","185,342.65","76,147.00","31,320.00"," -58.87%"
"18","Nusa Tenggara Barat","39,644.64","63,743.08","38,319.30","33,019.00","32,854.00"," -0.5%"
"19","Nusa Tenggara Timur","585,599.10","675,833.60","574,104.20","422,902.00","371,995.00"," -12.04%"
"20","Kalimantan Barat","188,328.24","225,622.07","168,376.65","150,490.00","126,166.00"," -16.16%"
"21","Kalimantan Tengah","67,121.95","64,998.03","53,375.19","48,167.00","37,961.00"," -21.19%"
"22","Kalimantan Selatan","53,642.07","45,505.84","33,513.89","32,074.00","35,961.00"," 12.12%"
"23","Kalimantan Timur","70,974.33","62,453.86","53,322.15","45,544.00","61,322.00"," 34.64%"
"24","Kalimantan Utara","28,371.60","24,623.69","26,930.33","32,548.00","41,424.00"," 27.27%"
"25","Sulawesi Utara","59,317.28","57,351.24","38,952.18","29,712.00","38,221.00"," 28.64%"
"26","Sulawesi Tengah","40,266.50","39,694.47","36,883.08","27,785.00","21,100.00"," -24.06%"
"27","Sulawesi Selatan","278,925.48","367,629.71","345,499.39","329,801.00","284,249.00"," -13.81%"
"28","Sulawesi Tenggara","162,821.86","137,657.36","127,140.94","105,346.00","112,451.00"," 6.74%"
"29","Gorontalo","1,786.72","2,206.70","2,966.15","2,870.00","1,516.00"," -47.18%"
"30","Sulawesi Barat","0.00","0.00","0.00","21,564.00","23,207.00"," 7.62%"
"31","Maluku","0.00","0.00","0.00","52,154.00","84,650.00"," 62.31%"
"32","Maluku Utara","32,200.79","56,135.08","48,986.06","11,436.00","61,925.00"," 441.49%"
"33","Papua Barat","0.00","0.00","0.00","6,548.00","5,907.00"," -9.79%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","5,432.00"," 543200%"
"35","Papua","39,646.46","7,564.89","234,039.46","0.00","11,034.00"," 1103400%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","8,387.00"," 838700%"
"37","Papua Tengah","0.00","0.00","0.00","0.00","9,426.00"," 942600%"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","101.00"," 10100%"
"INDONESIA","16,750,159.37","15,730,971.00","14,951,350.00","16,764,227.00","16,706,443.00"," -0.34%"
