ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.38,170.9,20.1,17.8,2.0,bawang_merah,60,7.802,medium,ACEH,2019,nasa_power,seasonal_estimate,8839.6,1133.0
0.38,300.3,22.3,17.1,2.0,bawang_merah,60,8.045,medium,SUMATERA UTARA,2019,nasa_power,seasonal_estimate,18071.66,2246.24
0.38,231.3,23.8,16.6,2.0,bawang_merah,60,11.163,low,SUMATERA BARAT,2019,nasa_power,seasonal_estimate,122398.9,10965.0
0.38,157.7,26.5,17.1,2.0,bawang_merah,60,5.508,high,RIAU,2019,nasa_power,seasonal_estimate,506.7,92.0
0.38,175.7,26.4,16.6,2.0,bawang_merah,60,6.43,high,JAMBI,2019,nasa_power,seasonal_estimate,9686.3,1506.5
0.38,174.1,26.3,18.2,2.0,bawang_merah,60,7.989,medium,SUMATERA SELATAN,2019,nasa_power,seasonal_estimate,1390.0,174.0
0.38,203.9,26.1,17.5,2.0,bawang_merah,60,4.985,high,BENGKULU,2019,nasa_power,seasonal_estimate,523.4,105.0
0.38,153.3,27.6,18.1,2.0,bawang_merah,60,7.716,medium,LAMPUNG,2019,nasa_power,seasonal_estimate,3634.2,471.0
0.38,168.8,27.8,17.5,2.0,bawang_merah,60,4.359,high,KEPULAUAN BANGKA BELITUNG,2019,nasa_power,seasonal_estimate,170.0,39.0
0.38,129.4,28.2,17.8,2.0,bawang_merah,60,3.942,high,KEPULAUAN RIAU,2019,nasa_power,seasonal_estimate,94.6,24.0
0.4,225.6,21.6,19.2,2.0,bawang_merah,60,11.043,low,JAWA BARAT,2019,nasa_power,seasonal_estimate,173463.2,15708.0
0.4,145.1,26.5,19.6,2.0,bawang_merah,60,10.051,low,JAWA TENGAH,2019,nasa_power,seasonal_estimate,481889.5,47943.0
0.4,137.6,26.1,19.6,2.0,bawang_merah,60,9.772,low,DAERAH ISTIMEWA YOGYAKARTA,2019,nasa_power,seasonal_estimate,16998.5,1739.5
0.4,133.9,27.2,20.0,2.0,bawang_merah,60,9.494,low,JAWA TIMUR,2019,nasa_power,seasonal_estimate,407877.1,42962.0
0.4,159.4,26.1,18.4,2.0,bawang_merah,60,6.49,high,BANTEN,2019,nasa_power,seasonal_estimate,1544.6,238.0
0.4,86.9,25.3,21.2,2.0,bawang_merah,60,14.971,low,BALI,2019,nasa_power,seasonal_estimate,19686.8,1315.0
0.38,101.5,26.5,21.6,2.0,bawang_merah,60,11.281,low,NUSA TENGGARA BARAT,2019,nasa_power,seasonal_estimate,188254.5,16688.0
0.38,141.2,26.6,21.5,2.0,bawang_merah,60,4.749,high,NUSA TENGGARA TIMUR,2019,nasa_power,seasonal_estimate,8254.0,1738.0
0.38,209.3,26.9,17.5,2.0,bawang_merah,60,2.923,high,KALIMANTAN TENGAH,2019,nasa_power,seasonal_estimate,395.5,135.3
