ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.36,170.9,20.1,17.8,2.0,bawang_putih,95,4.437,high,ACEH,2019,nasa_power,seasonal_estimate,288.4,65.0
0.36,300.3,22.3,17.1,2.0,bawang_putih,95,5.298,medium,SUMATERA UTARA,2019,nasa_power,seasonal_estimate,974.9,184.0
0.36,231.3,23.8,16.6,2.0,bawang_putih,95,6.812,low,SUMATERA BARAT,2019,nasa_power,seasonal_estimate,1866.4,274.0
0.36,175.7,26.4,16.6,2.0,bawang_putih,95,5.896,medium,JAMBI,2019,nasa_power,seasonal_estimate,395.0,67.0
0.36,174.1,26.3,18.2,2.0,bawang_putih,95,2.798,high,SUMATERA SELATAN,2019,nasa_power,seasonal_estimate,156.7,56.0
0.36,203.9,26.1,17.5,2.0,bawang_putih,95,3.914,high,BENGKULU,2019,nasa_power,seasonal_estimate,137.0,35.0
0.36,153.3,27.6,18.1,2.0,bawang_putih,95,1.686,high,LAMPUNG,2019,nasa_power,seasonal_estimate,48.9,29.0
0.38,225.6,21.6,19.2,2.0,bawang_putih,95,7.699,low,JAWA BARAT,2019,nasa_power,seasonal_estimate,6697.7,870.0
0.38,145.1,26.5,19.6,2.0,bawang_putih,95,6.84,low,JAWA TENGAH,2019,nasa_power,seasonal_estimate,36178.9,5289.0
0.38,133.9,27.2,20.0,2.0,bawang_putih,95,5.615,medium,JAWA TIMUR,2019,nasa_power,seasonal_estimate,6934.6,1235.0
0.38,86.9,25.3,21.2,2.0,bawang_putih,95,4.517,high,BALI,2019,nasa_power,seasonal_estimate,1562.9,346.0
0.36,101.5,26.5,21.6,2.0,bawang_putih,95,10.99,low,NUSA TENGGARA BARAT,2019,nasa_power,seasonal_estimate,30453.4,2771.0
0.36,141.2,26.6,21.5,2.0,bawang_putih,95,2.425,high,NUSA TENGGARA TIMUR,2019,nasa_power,seasonal_estimate,868.3,358.0
0.36,181.0,27.0,18.1,2.0,bawang_putih,95,1.3,high,KALIMANTAN SELATAN,2019,nasa_power,seasonal_estimate,1.3,1.0
0.36,105.9,24.7,20.0,2.0,bawang_putih,95,5.209,medium,SULAWESI UTARA,2019,nasa_power,seasonal_estimate,1896.0,364.0
0.36,205.5,23.0,19.7,2.0,bawang_putih,95,3.355,high,SULAWESI SELATAN,2019,nasa_power,seasonal_estimate,281.8,84.0
