ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.55,243.6,19.6,17.3,2.0,cabe_besar,90,10.668,low,ACEH,2017,nasa_power,seasonal_estimate,53041.2,4972.0
0.55,370.2,21.9,17.2,2.0,cabe_besar,90,9.697,low,SUMATERA UTARA,2017,nasa_power,seasonal_estimate,159131.0,16410.0
0.55,327.8,23.3,17.1,2.0,cabe_besar,90,9.776,low,SUMATERA BARAT,2017,nasa_power,seasonal_estimate,95489.4,9768.0
0.55,265.5,26.1,17.3,2.0,cabe_besar,90,7.072,low,RIAU,2017,nasa_power,seasonal_estimate,15813.4,2236.0
0.55,224.7,26.0,16.3,2.0,cabe_besar,90,5.703,medium,JAMBI,2017,nasa_power,seasonal_estimate,31571.6,5536.0
0.55,237.2,26.0,17.9,2.0,cabe_besar,90,5.915,medium,SUMATERA SELATAN,2017,nasa_power,seasonal_estimate,40467.6,6842.0
0.55,302.9,25.8,16.9,2.0,cabe_besar,90,5.286,medium,BENGKULU,2017,nasa_power,seasonal_estimate,32145.4,6081.0
0.55,174.3,26.9,17.2,2.0,cabe_besar,90,8.823,low,LAMPUNG,2017,nasa_power,seasonal_estimate,50203.2,5690.0
0.55,211.0,27.4,16.6,2.0,cabe_besar,90,5.826,medium,KEPULAUAN BANGKA BELITUNG,2017,nasa_power,seasonal_estimate,1992.6,342.0
0.55,166.3,27.9,17.0,2.0,cabe_besar,90,5.603,medium,KEPULAUAN RIAU,2017,nasa_power,seasonal_estimate,1944.2,347.0
0.57,271.4,21.4,17.6,2.0,cabe_besar,90,12.701,low,JAWA BARAT,2017,nasa_power,seasonal_estimate,274311.2,21598.0
0.57,186.9,25.9,18.0,2.0,cabe_besar,90,6.867,low,JAWA TENGAH,2017,nasa_power,seasonal_estimate,195570.5,28481.0
0.57,185.9,25.7,18.0,2.0,cabe_besar,90,8.243,low,DAERAH ISTIMEWA YOGYAKARTA,2017,nasa_power,seasonal_estimate,29516.4,3581.0
0.57,168.9,26.4,18.5,2.0,cabe_besar,90,7.447,low,JAWA TIMUR,2017,nasa_power,seasonal_estimate,100977.0,13560.0
0.57,223.9,25.5,17.0,2.0,cabe_besar,90,6.671,medium,BANTEN,2017,nasa_power,seasonal_estimate,6464.2,969.0
0.57,165.7,25.0,19.2,2.0,cabe_besar,90,9.614,low,BALI,2017,nasa_power,seasonal_estimate,12699.8,1321.0
0.55,154.8,26.0,20.0,2.0,cabe_besar,90,15.202,low,NUSA TENGGARA BARAT,2017,nasa_power,seasonal_estimate,31818.6,2093.0
0.55,171.5,26.4,20.2,2.0,cabe_besar,90,3.752,high,NUSA TENGGARA TIMUR,2017,nasa_power,seasonal_estimate,2476.3,660.0
0.55,310.0,25.8,17.6,2.0,cabe_besar,90,2.826,high,KALIMANTAN BARAT,2017,nasa_power,seasonal_estimate,1664.8,589.0
0.55,280.6,26.7,17.5,2.0,cabe_besar,90,2.196,high,KALIMANTAN TENGAH,2017,nasa_power,seasonal_estimate,636.8,290.0
0.55,231.1,26.4,16.3,2.0,cabe_besar,90,6.335,medium,KALIMANTAN SELATAN,2017,nasa_power,seasonal_estimate,10358.4,1635.0
0.55,209.3,25.6,17.6,2.0,cabe_besar,90,4.819,high,KALIMANTAN TIMUR,2017,nasa_power,seasonal_estimate,3503.1,727.0
0.55,258.5,23.2,17.8,2.0,cabe_besar,90,6.155,medium,KALIMANTAN UTARA,2017,nasa_power,seasonal_estimate,1809.5,294.0
0.55,206.2,24.4,18.1,2.0,cabe_besar,90,6.081,medium,SULAWESI UTARA,2017,nasa_power,seasonal_estimate,4877.1,802.0
0.55,201.6,21.7,16.8,2.0,cabe_besar,90,5.415,medium,SULAWESI TENGAH,2017,nasa_power,seasonal_estimate,6682.6,1234.0
0.55,275.3,22.9,18.7,2.0,cabe_besar,90,8.888,low,SULAWESI SELATAN,2017,nasa_power,seasonal_estimate,32289.1,3633.0
0.55,319.0,26.4,17.5,2.0,cabe_besar,90,2.127,high,SULAWESI TENGGARA,2017,nasa_power,seasonal_estimate,1206.2,567.0
0.55,220.1,25.9,18.1,2.0,cabe_besar,90,3.374,high,GORONTALO,2017,nasa_power,seasonal_estimate,209.2,62.0
0.55,221.6,20.6,17.0,2.0,cabe_besar,90,3.755,high,SULAWESI BARAT,2017,nasa_power,seasonal_estimate,1855.0,494.0
0.55,272.4,26.7,16.1,2.0,cabe_besar,90,3.495,high,MALUKU,2017,nasa_power,seasonal_estimate,1611.1,461.0
0.55,235.7,26.9,17.7,2.0,cabe_besar,90,2.321,high,MALUKU UTARA,2017,nasa_power,seasonal_estimate,1376.2,593.0
0.55,247.5,23.1,15.9,2.0,cabe_besar,90,6.195,medium,PAPUA,2017,nasa_power,seasonal_estimate,2453.3,396.0
0.55,239.8,19.7,17.3,2.0,cabe_besar,90,13.908,low,ACEH,2018,nasa_power,seasonal_estimate,68151.3,4900.0
0.55,361.1,21.9,17.4,2.0,cabe_besar,90,9.798,low,SUMATERA UTARA,2018,nasa_power,seasonal_estimate,155834.6,15905.0
0.55,294.6,23.4,16.9,2.0,cabe_besar,90,11.0,low,SUMATERA BARAT,2018,nasa_power,seasonal_estimate,106061.0,9642.0
0.55,200.2,26.1,17.0,2.0,cabe_besar,90,7.451,low,RIAU,2018,nasa_power,seasonal_estimate,17323.9,2325.0
0.55,210.8,26.1,16.7,2.0,cabe_besar,90,6.315,medium,JAMBI,2018,nasa_power,seasonal_estimate,38002.5,6018.0
0.55,206.4,25.9,17.9,2.0,cabe_besar,90,6.914,low,SUMATERA SELATAN,2018,nasa_power,seasonal_estimate,41814.0,6048.0
0.55,293.2,25.8,17.1,2.0,cabe_besar,90,6.058,medium,BENGKULU,2018,nasa_power,seasonal_estimate,39793.6,6569.0
0.55,155.2,27.0,17.6,2.0,cabe_besar,90,6.59,medium,LAMPUNG,2018,nasa_power,seasonal_estimate,45380.2,6886.0
0.55,180.4,27.4,17.3,2.0,cabe_besar,90,6.445,medium,KEPULAUAN BANGKA BELITUNG,2018,nasa_power,seasonal_estimate,2500.7,388.0
0.55,140.9,27.9,17.7,2.0,cabe_besar,90,7.043,low,KEPULAUAN RIAU,2018,nasa_power,seasonal_estimate,2922.8,415.0
0.57,230.0,21.4,18.4,2.0,cabe_besar,90,13.253,low,JAWA BARAT,2018,nasa_power,seasonal_estimate,274037.4,20678.0
0.57,155.6,26.2,19.1,2.0,cabe_besar,90,6.859,low,JAWA TENGAH,2018,nasa_power,seasonal_estimate,171796.0,25048.0
0.57,162.2,25.9,19.1,2.0,cabe_besar,90,9.119,low,DAERAH ISTIMEWA YOGYAKARTA,2018,nasa_power,seasonal_estimate,34443.3,3777.0
