ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.52,243.6,19.6,17.3,2.0,cabe_rawit,85,14.94,low,ACEH,2017,nasa_power,seasonal_estimate,53799.7,3601.0
0.52,370.2,21.9,17.2,2.0,cabe_rawit,85,7.873,low,SUMATERA UTARA,2017,nasa_power,seasonal_estimate,31727.3,4030.0
0.52,327.8,23.3,17.1,2.0,cabe_rawit,85,9.171,low,SUMATERA BARAT,2017,nasa_power,seasonal_estimate,22871.7,2494.0
0.52,265.5,26.1,17.3,2.0,cabe_rawit,85,6.717,low,RIAU,2017,nasa_power,seasonal_estimate,10901.7,1623.0
0.52,224.7,26.0,16.3,2.0,cabe_rawit,85,3.754,high,JAMBI,2017,nasa_power,seasonal_estimate,8352.5,2225.0
0.52,237.2,26.0,17.9,2.0,cabe_rawit,85,8.05,low,SUMATERA SELATAN,2017,nasa_power,seasonal_estimate,15826.1,1966.0
0.52,302.9,25.8,16.9,2.0,cabe_rawit,85,3.799,high,BENGKULU,2017,nasa_power,seasonal_estimate,7822.9,2059.0
0.52,174.3,26.9,17.2,2.0,cabe_rawit,85,6.684,low,LAMPUNG,2017,nasa_power,seasonal_estimate,14705.4,2200.0
0.52,211.0,27.4,16.6,2.0,cabe_rawit,85,3.679,high,KEPULAUAN BANGKA BELITUNG,2017,nasa_power,seasonal_estimate,1728.9,470.0
0.52,166.3,27.9,17.0,2.0,cabe_rawit,85,3.524,high,KEPULAUAN RIAU,2017,nasa_power,seasonal_estimate,1060.8,301.0
0.54,271.4,21.4,17.6,2.0,cabe_rawit,85,11.732,low,JAWA BARAT,2017,nasa_power,seasonal_estimate,134909.5,11499.0
0.54,186.9,25.9,18.0,2.0,cabe_rawit,85,6.576,low,JAWA TENGAH,2017,nasa_power,seasonal_estimate,148139.0,22527.0
0.54,185.9,25.7,18.0,2.0,cabe_rawit,85,6.198,low,DAERAH ISTIMEWA YOGYAKARTA,2017,nasa_power,seasonal_estimate,8386.2,1353.0
0.54,168.9,26.4,18.5,2.0,cabe_rawit,85,4.97,medium,JAWA TIMUR,2017,nasa_power,seasonal_estimate,339021.7,68212.0
0.54,223.9,25.5,17.0,2.0,cabe_rawit,85,7.544,low,BANTEN,2017,nasa_power,seasonal_estimate,4571.8,606.0
0.54,165.7,25.0,19.2,2.0,cabe_rawit,85,6.078,low,BALI,2017,nasa_power,seasonal_estimate,31463.9,5177.0
0.52,154.8,26.0,20.0,2.0,cabe_rawit,85,19.375,low,NUSA TENGGARA BARAT,2017,nasa_power,seasonal_estimate,156922.1,8099.0
0.52,171.5,26.4,20.2,2.0,cabe_rawit,85,3.985,medium,NUSA TENGGARA TIMUR,2017,nasa_power,seasonal_estimate,5227.8,1312.0
0.52,310.0,25.8,17.6,2.0,cabe_rawit,85,2.747,high,KALIMANTAN BARAT,2017,nasa_power,seasonal_estimate,4719.1,1718.0
0.52,280.6,26.7,17.5,2.0,cabe_rawit,85,2.797,high,KALIMANTAN TENGAH,2017,nasa_power,seasonal_estimate,2774.4,992.0
0.52,231.1,26.4,16.3,2.0,cabe_rawit,85,4.824,medium,KALIMANTAN SELATAN,2017,nasa_power,seasonal_estimate,11848.9,2456.0
0.52,209.3,25.6,17.6,2.0,cabe_rawit,85,4.471,medium,KALIMANTAN TIMUR,2017,nasa_power,seasonal_estimate,6040.3,1351.0
0.52,258.5,23.2,17.8,2.0,cabe_rawit,85,4.496,medium,KALIMANTAN UTARA,2017,nasa_power,seasonal_estimate,2706.7,602.0
0.52,206.2,24.4,18.1,2.0,cabe_rawit,85,4.598,medium,SULAWESI UTARA,2017,nasa_power,seasonal_estimate,16915.0,3679.0
