ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.52,289.5,19.9,17.2,2.0,jagung,100,5.522,low,ACEH,2020,nasa_power,seasonal_estimate,63951.0,11581.0
0.52,322.5,22.1,16.9,2.0,jagung,100,5.787,low,SUMATERA UTARA,2020,nasa_power,seasonal_estimate,783127.0,135334.0
0.52,309.8,23.7,17.3,2.0,jagung,100,6.464,low,SUMATERA BARAT,2020,nasa_power,seasonal_estimate,425025.0,65756.0
0.52,199.7,26.4,17.2,2.0,jagung,100,3.403,high,RIAU,2020,nasa_power,seasonal_estimate,473.0,139.0
0.52,276.0,26.3,16.5,2.0,jagung,100,6.844,low,JAMBI,2020,nasa_power,seasonal_estimate,7604.0,1111.0
0.52,264.3,26.2,17.4,2.0,jagung,100,6.037,low,SUMATERA SELATAN,2020,nasa_power,seasonal_estimate,211736.0,35074.0
0.52,342.1,26.3,17.1,2.0,jagung,100,5.648,low,BENGKULU,2020,nasa_power,seasonal_estimate,23416.0,4146.0
0.52,216.7,27.0,16.8,2.0,jagung,100,6.204,low,LAMPUNG,2020,nasa_power,seasonal_estimate,971957.0,156655.0
0.52,221.0,27.6,16.7,2.0,jagung,100,4.379,medium,KEPULAUAN BANGKA BELITUNG,2020,nasa_power,seasonal_estimate,127.0,29.0
0.52,152.6,28.0,17.7,2.0,jagung,100,5.067,low,KEPULAUAN RIAU,2020,nasa_power,seasonal_estimate,15.2,3.0
0.57,340.0,21.8,17.4,2.0,jagung,100,7.04,low,JAWA BARAT,2020,nasa_power,seasonal_estimate,418402.0,59431.0
0.57,225.3,26.1,18.3,2.0,jagung,100,6.044,low,JAWA TENGAH,2020,nasa_power,seasonal_estimate,2279146.0,377065.0
0.57,240.2,26.2,18.3,2.0,jagung,100,5.399,low,DAERAH ISTIMEWA YOGYAKARTA,2020,nasa_power,seasonal_estimate,169431.0,31381.0
0.57,207.4,26.7,18.8,2.0,jagung,100,5.726,low,JAWA TIMUR,2020,nasa_power,seasonal_estimate,4134908.0,722182.0
0.57,261.4,25.9,16.7,2.0,jagung,100,6.908,low,BANTEN,2020,nasa_power,seasonal_estimate,20350.0,2946.0
0.57,141.9,25.7,20.1,2.0,jagung,100,4.414,medium,BALI,2020,nasa_power,seasonal_estimate,34995.0,7928.0
0.52,118.4,26.9,20.7,2.0,jagung,100,5.911,low,NUSA TENGGARA BARAT,2020,nasa_power,seasonal_estimate,860495.0,145563.0
0.52,163.4,26.8,20.9,2.0,jagung,100,2.385,high,NUSA TENGGARA TIMUR,2020,nasa_power,seasonal_estimate,255453.0,107095.0
0.52,343.9,26.0,17.4,2.0,jagung,100,4.296,medium,KALIMANTAN BARAT,2020,nasa_power,seasonal_estimate,20284.0,4722.0
0.52,259.5,27.0,18.0,2.0,jagung,100,5.33,low,KALIMANTAN TENGAH,2020,nasa_power,seasonal_estimate,30998.0,5816.0
0.52,332.3,26.8,16.8,2.0,jagung,100,5.306,low,KALIMANTAN SELATAN,2020,nasa_power,seasonal_estimate,152797.0,28797.0
0.52,202.3,25.9,18.2,2.0,jagung,100,5.322,low,KALIMANTAN TIMUR,2020,nasa_power,seasonal_estimate,10585.0,1989.0
0.52,272.0,23.3,18.0,2.0,jagung,100,3.99,medium,KALIMANTAN UTARA,2020,nasa_power,seasonal_estimate,1169.0,293.0
0.52,177.9,24.8,18.7,2.0,jagung,100,4.119,medium,SULAWESI UTARA,2020,nasa_power,seasonal_estimate,174418.0,42344.0
0.52,269.0,21.9,17.1,2.0,jagung,100,4.478,medium,SULAWESI TENGAH,2020,nasa_power,seasonal_estimate,65596.0,14648.0
0.52,291.9,23.1,18.7,2.0,jagung,100,5.084,low,SULAWESI SELATAN,2020,nasa_power,seasonal_estimate,1086933.0,213792.0
0.52,265.2,26.5,17.5,2.0,jagung,100,3.939,medium,SULAWESI TENGGARA,2020,nasa_power,seasonal_estimate,98972.0,25124.0
0.52,188.4,26.4,18.7,2.0,jagung,100,4.628,medium,GORONTALO,2020,nasa_power,seasonal_estimate,580370.0,125415.0
0.52,258.6,20.9,17.2,2.0,jagung,100,4.893,low,SULAWESI BARAT,2020,nasa_power,seasonal_estimate,11240.0,2297.0
0.52,217.5,26.9,17.2,2.0,jagung,100,3.453,high,MALUKU,2020,nasa_power,seasonal_estimate,14935.0,4325.0
0.52,211.0,27.5,18.7,2.0,jagung,100,4.112,medium,MALUKU UTARA,2020,nasa_power,seasonal_estimate,3816.0,928.0
0.52,278.6,23.7,17.7,2.0,jagung,100,3.802,medium,PAPUA BARAT,2020,nasa_power,seasonal_estimate,5099.0,1341.0
0.52,226.0,23.3,16.3,2.0,jagung,100,4.248,medium,PAPUA,2020,nasa_power,seasonal_estimate,11120.0,2618.0
0.52,251.7,19.6,17.5,2.0,jagung,100,5.621,low,ACEH,2021,nasa_power,seasonal_estimate,57836.0,10290.0
0.52,300.3,21.9,17.5,2.0,jagung,100,6.229,low,SUMATERA UTARA,2021,nasa_power,seasonal_estimate,956939.0,153632.0
0.52,346.5,23.4,17.4,2.0,jagung,100,6.519,low,SUMATERA BARAT,2021,nasa_power,seasonal_estimate,437814.0,67159.0
0.52,261.3,26.1,17.5,2.0,jagung,100,3.235,high,RIAU,2021,nasa_power,seasonal_estimate,990.0,306.0
