ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.48,289.5,19.9,17.2,2.0,kedelai,88,1.387,low,ACEH,2020,nasa_power,seasonal_estimate,774.0,558.0
0.48,322.5,22.1,16.9,2.0,kedelai,88,1.29,low,SUMATERA UTARA,2020,nasa_power,seasonal_estimate,3302.0,2559.0
0.48,309.8,23.7,17.3,2.0,kedelai,88,1.6,low,SUMATERA BARAT,2020,nasa_power,seasonal_estimate,48.0,30.0
0.48,199.7,26.4,17.2,2.0,kedelai,88,1.426,low,RIAU,2020,nasa_power,seasonal_estimate,2600.0,1823.0
0.48,276.0,26.3,16.5,2.0,kedelai,88,1.576,low,JAMBI,2020,nasa_power,seasonal_estimate,8278.0,5253.0
0.48,264.3,26.2,17.4,2.0,kedelai,88,1.573,low,SUMATERA SELATAN,2020,nasa_power,seasonal_estimate,1062.0,675.0
0.48,342.1,26.3,17.1,2.0,kedelai,88,1.6,low,BENGKULU,2020,nasa_power,seasonal_estimate,16.0,10.0
0.48,216.7,27.0,16.8,2.0,kedelai,88,1.59,low,LAMPUNG,2020,nasa_power,seasonal_estimate,2497.0,1570.0
0.53,340.0,21.8,17.4,2.0,kedelai,88,1.699,low,JAWA BARAT,2020,nasa_power,seasonal_estimate,90514.0,53273.0
0.53,225.3,26.1,18.3,2.0,kedelai,88,1.909,low,JAWA TENGAH,2020,nasa_power,seasonal_estimate,43796.0,22944.0
0.53,240.2,26.2,18.3,2.0,kedelai,88,1.386,low,DAERAH ISTIMEWA YOGYAKARTA,2020,nasa_power,seasonal_estimate,8160.0,5889.0
0.53,207.4,26.7,18.8,2.0,kedelai,88,1.687,low,JAWA TIMUR,2020,nasa_power,seasonal_estimate,68386.0,40535.0
0.53,261.4,25.9,16.7,2.0,kedelai,88,1.576,low,BANTEN,2020,nasa_power,seasonal_estimate,911.0,578.0
0.53,141.9,25.7,20.1,2.0,kedelai,88,1.88,low,BALI,2020,nasa_power,seasonal_estimate,2339.0,1244.0
0.48,118.4,26.9,20.7,2.0,kedelai,88,1.456,low,NUSA TENGGARA BARAT,2020,nasa_power,seasonal_estimate,32415.0,22256.0
0.48,163.4,26.8,20.9,2.0,kedelai,88,1.255,medium,NUSA TENGGARA TIMUR,2020,nasa_power,seasonal_estimate,2069.0,1648.0
0.48,343.9,26.0,17.4,2.0,kedelai,88,1.0,medium,KALIMANTAN BARAT,2020,nasa_power,seasonal_estimate,71.0,71.0
0.48,259.5,27.0,18.0,2.0,kedelai,88,1.596,low,KALIMANTAN TENGAH,2020,nasa_power,seasonal_estimate,150.0,94.0
0.48,332.3,26.8,16.8,2.0,kedelai,88,1.302,low,KALIMANTAN SELATAN,2020,nasa_power,seasonal_estimate,2295.0,1763.0
0.48,202.3,25.9,18.2,2.0,kedelai,88,1.532,low,KALIMANTAN TIMUR,2020,nasa_power,seasonal_estimate,95.0,62.0
0.48,272.0,23.3,18.0,2.0,kedelai,88,1.0,medium,KALIMANTAN UTARA,2020,nasa_power,seasonal_estimate,1.0,1.0
0.48,177.9,24.8,18.7,2.0,kedelai,88,1.606,low,SULAWESI UTARA,2020,nasa_power,seasonal_estimate,20735.0,12907.0
0.48,269.0,21.9,17.1,2.0,kedelai,88,1.232,medium,SULAWESI TENGAH,2020,nasa_power,seasonal_estimate,3334.0,2707.0
0.48,291.9,23.1,18.7,2.0,kedelai,88,1.045,medium,SULAWESI SELATAN,2020,nasa_power,seasonal_estimate,2309.0,2210.0
0.48,265.2,26.5,17.5,2.0,kedelai,88,1.892,low,SULAWESI TENGGARA,2020,nasa_power,seasonal_estimate,821.0,434.0
0.48,188.4,26.4,18.7,2.0,kedelai,88,1.658,low,GORONTALO,2020,nasa_power,seasonal_estimate,1146.0,691.0
0.48,258.6,20.9,17.2,2.0,kedelai,88,1.706,low,SULAWESI BARAT,2020,nasa_power,seasonal_estimate,6707.0,3932.0
0.48,217.5,26.9,17.2,2.0,kedelai,88,1.5,low,MALUKU,2020,nasa_power,seasonal_estimate,3.0,2.0
0.48,211.0,27.5,18.7,2.0,kedelai,88,1.571,low,MALUKU UTARA,2020,nasa_power,seasonal_estimate,66.0,42.0
0.48,278.6,23.7,17.7,2.0,kedelai,88,1.429,low,PAPUA BARAT,2020,nasa_power,seasonal_estimate,30.0,21.0
0.48,226.0,23.3,16.3,2.0,kedelai,88,1.229,medium,PAPUA,2020,nasa_power,seasonal_estimate,671.0,546.0
0.48,251.7,19.6,17.5,2.0,kedelai,88,1.683,low,ACEH,2021,nasa_power,seasonal_estimate,882.0,524.0
0.48,300.3,21.9,17.5,2.0,kedelai,88,1.689,low,SUMATERA UTARA,2021,nasa_power,seasonal_estimate,1442.0,854.0
0.48,346.5,23.4,17.4,2.0,kedelai,88,1.4,low,SUMATERA BARAT,2021,nasa_power,seasonal_estimate,7.0,5.0
0.48,261.3,26.1,17.5,2.0,kedelai,88,0.87,high,RIAU,2021,nasa_power,seasonal_estimate,541.0,622.0
0.48,235.1,26.0,16.4,2.0,kedelai,88,1.981,low,JAMBI,2021,nasa_power,seasonal_estimate,6504.0,3283.0
0.48,264.9,25.9,17.8,2.0,kedelai,88,1.583,low,SUMATERA SELATAN,2021,nasa_power,seasonal_estimate,402.0,254.0
0.48,316.2,26.0,17.4,2.0,kedelai,88,1.5,low,BENGKULU,2021,nasa_power,seasonal_estimate,6.0,4.0
0.48,199.3,26.8,16.8,2.0,kedelai,88,1.46,low,LAMPUNG,2021,nasa_power,seasonal_estimate,1923.0,1317.0
0.48,211.0,27.4,16.9,2.0,kedelai,88,2.0,low,KEPULAUAN BANGKA BELITUNG,2021,nasa_power,seasonal_estimate,8.0,4.0
0.53,292.7,21.5,17.2,2.0,kedelai,88,1.263,medium,JAWA BARAT,2021,nasa_power,seasonal_estimate,23095.0,18291.0
