ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.62,289.5,19.9,17.2,2.0,ubi_jalar,120,13.303,low,ACEH,2020,nasa_power,seasonal_estimate,6297.58,473.4
0.62,322.5,22.1,16.9,2.0,ubi_jalar,120,20.44,low,SUMATERA UTARA,2020,nasa_power,seasonal_estimate,88691.96,4339.2
0.62,199.7,26.4,17.2,2.0,ubi_jalar,120,25.093,low,RIAU,2020,nasa_power,seasonal_estimate,9444.84,376.4
0.62,276.0,26.3,16.5,2.0,ubi_jalar,120,29.792,low,JAMBI,2020,nasa_power,seasonal_estimate,43457.6,1458.7
0.62,342.1,26.3,17.1,2.0,ubi_jalar,120,18.757,low,BENGKULU,2020,nasa_power,seasonal_estimate,16157.57,861.4
0.62,216.7,27.0,16.8,2.0,ubi_jalar,120,16.285,low,LAMPUNG,2020,nasa_power,seasonal_estimate,28921.7,1776.0
0.62,221.0,27.6,16.7,2.0,ubi_jalar,120,12.958,low,KEPULAUAN BANGKA BELITUNG,2020,nasa_power,seasonal_estimate,2843.03,219.4
0.62,152.6,28.0,17.7,2.0,ubi_jalar,120,10.576,low,KEPULAUAN RIAU,2020,nasa_power,seasonal_estimate,1448.92,137.0
0.67,340.0,21.8,17.4,2.0,ubi_jalar,120,21.693,low,JAWA BARAT,2020,nasa_power,seasonal_estimate,428336.78,19745.1
0.67,225.3,26.1,18.3,2.0,ubi_jalar,120,25.523,low,JAWA TENGAH,2020,nasa_power,seasonal_estimate,152542.04,5976.7
0.67,240.2,26.2,18.3,2.0,ubi_jalar,120,22.733,low,DAERAH ISTIMEWA YOGYAKARTA,2020,nasa_power,seasonal_estimate,3489.55,153.5
0.67,207.4,26.7,18.8,2.0,ubi_jalar,120,27.951,low,JAWA TIMUR,2020,nasa_power,seasonal_estimate,284444.35,10176.7
0.67,261.4,25.9,16.7,2.0,ubi_jalar,120,16.484,low,BANTEN,2020,nasa_power,seasonal_estimate,15945.45,967.3
