ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.52,289.5,19.9,17.2,2.0,ubi_kayu,270,13.303,medium,ACEH,2020,nasa_power,seasonal_estimate,6297.58,473.4
0.52,322.5,22.1,16.9,2.0,ubi_kayu,270,39.945,low,SUMATERA UTARA,2020,nasa_power,seasonal_estimate,1083732.68,27130.9
0.52,309.8,23.7,17.3,2.0,ubi_kayu,270,41.555,low,SUMATERA BARAT,2020,nasa_power,seasonal_estimate,150689.85,3626.3
0.52,199.7,26.4,17.2,2.0,ubi_kayu,270,32.139,low,RIAU,2020,nasa_power,seasonal_estimate,142398.33,4430.7
0.52,276.0,26.3,16.5,2.0,ubi_kayu,270,29.792,low,JAMBI,2020,nasa_power,seasonal_estimate,43457.6,1458.7
0.52,342.1,26.3,17.1,2.0,ubi_kayu,270,27.857,low,BENGKULU,2020,nasa_power,seasonal_estimate,31506.78,1131.0
0.52,216.7,27.0,16.8,2.0,ubi_kayu,270,26.372,low,LAMPUNG,2020,nasa_power,seasonal_estimate,5846981.32,221709.8
0.52,221.0,27.6,16.7,2.0,ubi_kayu,270,28.933,low,KEPULAUAN BANGKA BELITUNG,2020,nasa_power,seasonal_estimate,142899.44,4939.0
0.52,152.6,28.0,17.7,2.0,ubi_kayu,270,32.272,low,KEPULAUAN RIAU,2020,nasa_power,seasonal_estimate,17275.14,535.3
0.57,340.0,21.8,17.4,2.0,ubi_kayu,270,31.585,low,JAWA BARAT,2020,nasa_power,seasonal_estimate,1458674.61,46182.8
0.57,225.3,26.1,18.3,2.0,ubi_kayu,270,31.085,low,JAWA TENGAH,2020,nasa_power,seasonal_estimate,3404061.64,109508.4
0.57,240.2,26.2,18.3,2.0,ubi_kayu,270,20.508,low,DAERAH ISTIMEWA YOGYAKARTA,2020,nasa_power,seasonal_estimate,963394.83,46977.6
0.57,207.4,26.7,18.8,2.0,ubi_kayu,270,20.935,low,JAWA TIMUR,2020,nasa_power,seasonal_estimate,1674571.69,79989.2
0.57,261.4,25.9,16.7,2.0,ubi_kayu,270,21.956,low,BANTEN,2020,nasa_power,seasonal_estimate,59542.85,2711.9
0.57,141.9,25.7,20.1,2.0,ubi_kayu,270,13.215,medium,BALI,2020,nasa_power,seasonal_estimate,76028.05,5753.3
0.52,118.4,26.9,20.7,2.0,ubi_kayu,270,18.643,low,NUSA TENGGARA BARAT,2020,nasa_power,seasonal_estimate,39644.64,2126.5
0.52,163.4,26.8,20.9,2.0,ubi_kayu,270,14.172,medium,NUSA TENGGARA TIMUR,2020,nasa_power,seasonal_estimate,585599.1,41321.7
0.52,343.9,26.0,17.4,2.0,ubi_kayu,270,27.915,low,KALIMANTAN BARAT,2020,nasa_power,seasonal_estimate,188328.24,6746.5
0.52,259.5,27.0,18.0,2.0,ubi_kayu,270,29.418,low,KALIMANTAN TENGAH,2020,nasa_power,seasonal_estimate,67121.95,2281.7
0.52,332.3,26.8,16.8,2.0,ubi_kayu,270,31.82,low,KALIMANTAN SELATAN,2020,nasa_power,seasonal_estimate,53642.07,1685.8
0.52,202.3,25.9,18.2,2.0,ubi_kayu,270,30.304,low,KALIMANTAN TIMUR,2020,nasa_power,seasonal_estimate,70974.33,2342.1
0.52,272.0,23.3,18.0,2.0,ubi_kayu,270,24.437,low,KALIMANTAN UTARA,2020,nasa_power,seasonal_estimate,28371.6,1161.0
0.52,177.9,24.8,18.7,2.0,ubi_kayu,270,20.458,low,SULAWESI UTARA,2020,nasa_power,seasonal_estimate,59317.28,2899.5
0.52,269.0,21.9,17.1,2.0,ubi_kayu,270,23.846,low,SULAWESI TENGAH,2020,nasa_power,seasonal_estimate,40266.5,1688.6
0.52,291.9,23.1,18.7,2.0,ubi_kayu,270,30.847,low,SULAWESI SELATAN,2020,nasa_power,seasonal_estimate,278925.48,9042.3
0.52,265.2,26.5,17.5,2.0,ubi_kayu,270,24.752,low,SULAWESI TENGGARA,2020,nasa_power,seasonal_estimate,162821.86,6578.0
0.52,188.4,26.4,18.7,2.0,ubi_kayu,270,28.361,low,GORONTALO,2020,nasa_power,seasonal_estimate,1786.72,63.0
0.52,211.0,27.5,18.7,2.0,ubi_kayu,270,22.991,low,MALUKU UTARA,2020,nasa_power,seasonal_estimate,32200.79,1400.6
0.52,226.0,23.3,16.3,2.0,ubi_kayu,270,22.026,low,PAPUA,2020,nasa_power,seasonal_estimate,39646.46,1800.0
0.52,251.7,19.6,17.5,2.0,ubi_kayu,270,21.434,low,ACEH,2021,nasa_power,seasonal_estimate,7548.96,352.2
0.52,300.3,21.9,17.5,2.0,ubi_kayu,270,39.879,low,SUMATERA UTARA,2021,nasa_power,seasonal_estimate,1062951.86,26654.7
0.52,346.5,23.4,17.4,2.0,ubi_kayu,270,41.188,low,SUMATERA BARAT,2021,nasa_power,seasonal_estimate,141837.59,3443.7
